PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	18	1	0.64	+	1.57	4.77E-01
regulation of cell differentiation (GO:0045595)	90	5	3.19	+	1.57	2.52E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	180	10	6.37	+	1.57	1.50E-01
positive regulation of defense response (GO:0031349)	18	1	0.64	+	1.57	4.77E-01
intrinsic apoptotic signaling pathway (GO:0097193)	18	1	0.64	+	1.57	4.77E-01
cellular response to hormone stimulus (GO:0032870)	73	4	2.58	+	1.55	3.30E-01
RNA catabolic process (GO:0006401)	55	3	1.95	+	1.54	4.46E-01
canonical Wnt signaling pathway (GO:0060070)	55	3	1.95	+	1.54	4.46E-01
ameboidal-type cell migration (GO:0001667)	37	2	1.31	+	1.53	3.79E-01
mitochondrial transmembrane transport (GO:1990542)	37	2	1.31	+	1.53	3.79E-01
vesicle localization (GO:0051648)	37	2	1.31	+	1.53	3.79E-01
regulation of amide metabolic process (GO:0034248)	56	3	1.98	+	1.51	4.51E-01
cell migration (GO:0016477)	169	9	5.98	+	1.5	2.04E-01
synaptic signaling (GO:0099536)	151	8	5.34	+	1.5	2.60E-01
neuron development (GO:0048666)	208	11	7.36	+	1.49	1.80E-01
Wnt signaling pathway (GO:0016055)	57	3	2.02	+	1.49	4.56E-01
regulation of supramolecular fiber organization (GO:1902903)	76	4	2.69	+	1.49	3.46E-01
negative regulation of monoatomic ion transport (GO:0043271)	19	1	0.67	+	1.49	4.96E-01
multicellular organism development (GO:0007275)	665	35	23.54	+	1.49	1.74E-02
heart contraction (GO:0060047)	19	1	0.67	+	1.49	4.96E-01
leukocyte activation (GO:0045321)	19	1	0.67	+	1.49	4.96E-01
maturation of LSU-rRNA (GO:0000470)	19	1	0.67	+	1.49	4.96E-01
aminoglycan biosynthetic process (GO:0006023)	19	1	0.67	+	1.49	4.96E-01
phagocytosis (GO:0006909)	19	1	0.67	+	1.49	4.96E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	0.67	+	1.49	4.96E-01
cAMP-mediated signaling (GO:0019933)	19	1	0.67	+	1.49	4.96E-01
regulation of biological quality (GO:0065008)	440	23	15.57	+	1.48	6.40E-02
response to endogenous stimulus (GO:0009719)	192	10	6.8	+	1.47	2.31E-01
plasma membrane bounded cell projection organization (GO:0120036)	328	17	11.61	+	1.46	1.27E-01
muscle structure development (GO:0061061)	58	3	2.05	+	1.46	4.61E-01
import into nucleus (GO:0051170)	39	2	1.38	+	1.45	6.49E-01
tRNA modification (GO:0006400)	39	2	1.38	+	1.45	6.49E-01
protein import into nucleus (GO:0006606)	39	2	1.38	+	1.45	6.49E-01
cell projection organization (GO:0030030)	334	17	11.82	+	1.44	1.31E-01
cell-cell signaling by wnt (GO:0198738)	59	3	2.09	+	1.44	4.66E-01
cellular anatomical entity morphogenesis (GO:0032989)	178	9	6.3	+	1.43	3.00E-01
cellular response to organic substance (GO:0071310)	179	9	6.34	+	1.42	3.02E-01
regulation of endocytosis (GO:0030100)	20	1	0.71	+	1.41	5.14E-01
heart process (GO:0003015)	20	1	0.71	+	1.41	5.14E-01
positive regulation of response to biotic stimulus (GO:0002833)	20	1	0.71	+	1.41	5.14E-01
peroxisome organization (GO:0007031)	20	1	0.71	+	1.41	5.14E-01
visual perception (GO:0007601)	20	1	0.71	+	1.41	5.14E-01
epithelial cell differentiation (GO:0030855)	20	1	0.71	+	1.41	5.14E-01
heterocycle biosynthetic process (GO:0018130)	202	10	7.15	+	1.4	2.49E-01
regulation of cell population proliferation (GO:0042127)	101	5	3.57	+	1.4	4.09E-01
protein phosphorylation (GO:0006468)	203	10	7.19	+	1.39	2.51E-01
plasma membrane bounded cell projection assembly (GO:0120031)	122	6	4.32	+	1.39	4.52E-01
establishment of protein localization to membrane (GO:0090150)	61	3	2.16	+	1.39	4.78E-01
cell surface receptor signaling pathway (GO:0007166)	472	23	16.71	+	1.38	1.25E-01
multicellular organismal process (GO:0032501)	842	41	29.8	+	1.38	4.17E-02
aromatic compound biosynthetic process (GO:0019438)	206	10	7.29	+	1.37	3.36E-01
nucleoside phosphate biosynthetic process (GO:1901293)	62	3	2.19	+	1.37	4.83E-01
regulation of trans-synaptic signaling (GO:0099177)	83	4	2.94	+	1.36	5.41E-01
modulation of chemical synaptic transmission (GO:0050804)	83	4	2.94	+	1.36	5.41E-01
neuron differentiation (GO:0030182)	272	13	9.63	+	1.35	2.45E-01
positive regulation of translation (GO:0045727)	21	1	0.74	+	1.35	5.31E-01
Notch signaling pathway (GO:0007219)	21	1	0.74	+	1.35	5.31E-01
protein palmitoylation (GO:0018345)	21	1	0.74	+	1.35	5.31E-01
RNA methylation (GO:0001510)	42	2	1.49	+	1.35	6.60E-01
regulation of organelle assembly (GO:1902115)	21	1	0.74	+	1.35	5.31E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	0.74	+	1.35	5.31E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	21	1	0.74	+	1.35	5.31E-01
RNA metabolic process (GO:0016070)	505	24	17.87	+	1.34	1.39E-01
ncRNA metabolic process (GO:0034660)	232	11	8.21	+	1.34	2.83E-01
anatomical structure development (GO:0048856)	892	42	31.57	+	1.33	5.92E-02
synapse organization (GO:0050808)	64	3	2.27	+	1.32	4.95E-01
cell motility (GO:0048870)	192	9	6.8	+	1.32	3.28E-01
positive regulation of DNA-templated transcription (GO:0045893)	235	11	8.32	+	1.32	3.68E-01
positive regulation of RNA biosynthetic process (GO:1902680)	235	11	8.32	+	1.32	3.68E-01
regulation of actin cytoskeleton organization (GO:0032956)	86	4	3.04	+	1.31	5.49E-01
ribosomal large subunit biogenesis (GO:0042273)	43	2	1.52	+	1.31	6.65E-01
phosphorylation (GO:0016310)	216	10	7.65	+	1.31	3.51E-01
cell differentiation (GO:0030154)	607	28	21.48	+	1.3	1.43E-01
cellular developmental process (GO:0048869)	607	28	21.48	+	1.3	1.43E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	87	4	3.08	+	1.3	5.52E-01
developmental process (GO:0032502)	1001	46	35.43	+	1.3	6.13E-02
generation of neurons (GO:0048699)	283	13	10.02	+	1.3	3.26E-01
neurogenesis (GO:0022008)	306	14	10.83	+	1.29	3.44E-01
inorganic ion transmembrane transport (GO:0098660)	241	11	8.53	+	1.29	3.75E-01
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	1	0.78	+	1.28	5.48E-01
response to hormone (GO:0009725)	88	4	3.11	+	1.28	5.55E-01
heterochromatin formation (GO:0031507)	22	1	0.78	+	1.28	5.48E-01
regulation of sodium ion transport (GO:0002028)	22	1	0.78	+	1.28	5.48E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	110	5	3.89	+	1.28	5.97E-01
phospholipid translocation (GO:0045332)	22	1	0.78	+	1.28	5.48E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	66	3	2.34	+	1.28	5.07E-01
cytoplasmic microtubule organization (GO:0031122)	22	1	0.78	+	1.28	5.48E-01
cell projection assembly (GO:0030031)	132	6	4.67	+	1.28	4.74E-01
inflammatory response (GO:0006954)	22	1	0.78	+	1.28	5.48E-01
mitochondrial transport (GO:0006839)	44	2	1.56	+	1.28	6.69E-01
animal organ development (GO:0048513)	287	13	10.16	+	1.28	3.32E-01
regulation of response to stimulus (GO:0048583)	555	25	19.64	+	1.27	1.97E-01
positive regulation of signal transduction (GO:0009967)	178	8	6.3	+	1.27	4.16E-01
regulation of multicellular organismal development (GO:2000026)	89	4	3.15	+	1.27	5.59E-01
intracellular monoatomic cation homeostasis (GO:0030003)	112	5	3.96	+	1.26	6.01E-01
intracellular monoatomic ion homeostasis (GO:0006873)	112	5	3.96	+	1.26	6.01E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	292	13	10.34	+	1.26	4.20E-01
organic cyclic compound biosynthetic process (GO:1901362)	225	10	7.96	+	1.26	4.62E-01
regulation of actin filament polymerization (GO:0030833)	45	2	1.59	+	1.26	6.74E-01
G protein-coupled receptor signaling pathway (GO:0007186)	248	11	8.78	+	1.25	3.87E-01
positive regulation of RNA metabolic process (GO:0051254)	271	12	9.59	+	1.25	4.04E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	68	3	2.41	+	1.25	5.20E-01
rRNA processing (GO:0006364)	91	4	3.22	+	1.24	5.66E-01
cilium assembly (GO:0060271)	114	5	4.04	+	1.24	6.05E-01
regulation of cell projection organization (GO:0031344)	69	3	2.44	+	1.23	7.37E-01
regulation of actin polymerization or depolymerization (GO:0008064)	46	2	1.63	+	1.23	6.78E-01
lipid translocation (GO:0034204)	23	1	0.81	+	1.23	5.64E-01
protein glycosylation (GO:0006486)	92	4	3.26	+	1.23	5.69E-01
cell-substrate adhesion (GO:0031589)	46	2	1.63	+	1.23	6.78E-01
protein localization to plasma membrane (GO:0072659)	46	2	1.63	+	1.23	6.78E-01
organophosphate catabolic process (GO:0046434)	46	2	1.63	+	1.23	6.78E-01
ncRNA processing (GO:0034470)	184	8	6.51	+	1.23	5.42E-01
macromolecule glycosylation (GO:0043413)	92	4	3.26	+	1.23	5.69E-01
regulation of nervous system development (GO:0051960)	46	2	1.63	+	1.23	6.78E-01
regulation of secretion by cell (GO:1903530)	46	2	1.63	+	1.23	6.78E-01
sensory organ development (GO:0007423)	46	2	1.63	+	1.23	6.78E-01
cell adhesion mediated by integrin (GO:0033627)	23	1	0.81	+	1.23	5.64E-01
vesicle fusion (GO:0006906)	46	2	1.63	+	1.23	6.78E-01
plasma membrane organization (GO:0007009)	23	1	0.81	+	1.23	5.64E-01
glycosaminoglycan metabolic process (GO:0030203)	23	1	0.81	+	1.23	5.64E-01
regulation of intracellular signal transduction (GO:1902531)	255	11	9.03	+	1.22	4.90E-01
positive regulation of MAPK cascade (GO:0043410)	70	3	2.48	+	1.21	7.39E-01
protein localization to nucleus (GO:0034504)	47	2	1.66	+	1.2	6.83E-01
response to organonitrogen compound (GO:0010243)	94	4	3.33	+	1.2	5.77E-01
regulation of secretion (GO:0051046)	47	2	1.66	+	1.2	6.83E-01
potassium ion transmembrane transport (GO:0071805)	94	4	3.33	+	1.2	5.77E-01
organelle membrane fusion (GO:0090174)	47	2	1.66	+	1.2	6.83E-01
positive regulation of cellular catabolic process (GO:0031331)	47	2	1.66	+	1.2	6.83E-01
potassium ion transport (GO:0006813)	94	4	3.33	+	1.2	5.77E-01
regulation of cell communication (GO:0010646)	541	23	19.15	+	1.2	3.41E-01
system development (GO:0048731)	542	23	19.18	+	1.2	3.42E-01
positive regulation of cellular process (GO:0048522)	849	36	30.05	+	1.2	2.48E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	118	5	4.18	+	1.2	6.13E-01
regulation of MAPK cascade (GO:0043408)	118	5	4.18	+	1.2	6.13E-01
regulation of signaling (GO:0023051)	545	23	19.29	+	1.19	3.44E-01
cellular component disassembly (GO:0022411)	95	4	3.36	+	1.19	5.80E-01
nervous system development (GO:0007399)	404	17	14.3	+	1.19	4.13E-01
glycoprotein biosynthetic process (GO:0009101)	119	5	4.21	+	1.19	6.15E-01
monoatomic ion transmembrane transport (GO:0034220)	263	11	9.31	+	1.18	5.01E-01
regulation of actin filament length (GO:0030832)	48	2	1.7	+	1.18	6.87E-01
positive regulation of cellular component organization (GO:0051130)	96	4	3.4	+	1.18	5.84E-01
purine nucleotide biosynthetic process (GO:0006164)	48	2	1.7	+	1.18	6.87E-01
translational elongation (GO:0006414)	24	1	0.85	+	1.18	5.79E-01
regulation of cytokine production (GO:0001817)	24	1	0.85	+	1.18	5.79E-01
regulation of synaptic plasticity (GO:0048167)	24	1	0.85	+	1.18	5.79E-01
regulation of GTPase activity (GO:0043087)	72	3	2.55	+	1.18	7.43E-01
aromatic compound catabolic process (GO:0019439)	121	5	4.28	+	1.17	6.20E-01
regulation of membrane potential (GO:0042391)	97	4	3.43	+	1.17	7.78E-01
proteasomal protein catabolic process (GO:0010498)	146	6	5.17	+	1.16	6.50E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	195	8	6.9	+	1.16	5.61E-01
import into cell (GO:0098657)	195	8	6.9	+	1.16	5.61E-01
regulation of cytoskeleton organization (GO:0051493)	122	5	4.32	+	1.16	6.23E-01
positive regulation of organelle organization (GO:0010638)	49	2	1.73	+	1.15	6.92E-01
regulation of signal transduction (GO:0009966)	466	19	16.49	+	1.15	5.21E-01
nucleoside phosphate metabolic process (GO:0006753)	123	5	4.35	+	1.15	6.26E-01
intracellular chemical homeostasis (GO:0055082)	123	5	4.35	+	1.15	6.26E-01
cellular response to nitrogen compound (GO:1901699)	74	3	2.62	+	1.15	7.47E-01
signaling (GO:0023052)	1311	53	46.4	+	1.14	3.04E-01
purine nucleotide metabolic process (GO:0006163)	99	4	3.5	+	1.14	7.81E-01
chromatin remodeling (GO:0006338)	99	4	3.5	+	1.14	7.81E-01
cell communication (GO:0007154)	1339	54	47.39	+	1.14	3.08E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	25	1	0.88	+	1.13	5.94E-01
ceramide biosynthetic process (GO:0046513)	25	1	0.88	+	1.13	5.94E-01
multivesicular body sorting pathway (GO:0071985)	25	1	0.88	+	1.13	5.94E-01
regulation of cellular component organization (GO:0051128)	300	12	10.62	+	1.13	6.34E-01
peptidyl-serine phosphorylation (GO:0018105)	75	3	2.65	+	1.13	7.49E-01
positive regulation of cell communication (GO:0010647)	200	8	7.08	+	1.13	6.97E-01
protein polyubiquitination (GO:0000209)	75	3	2.65	+	1.13	7.49E-01
positive regulation of signaling (GO:0023056)	200	8	7.08	+	1.13	6.97E-01
Rho protein signal transduction (GO:0007266)	25	1	0.88	+	1.13	5.94E-01
proteoglycan biosynthetic process (GO:0030166)	25	1	0.88	+	1.13	5.94E-01
sulfur compound metabolic process (GO:0006790)	75	3	2.65	+	1.13	7.49E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	375	15	13.27	+	1.13	5.71E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	25	1	0.88	+	1.13	5.94E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	25	1	0.88	+	1.13	5.94E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	25	1	0.88	+	1.13	5.94E-01
response to fibroblast growth factor (GO:0071774)	25	1	0.88	+	1.13	5.94E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	0.88	+	1.13	5.94E-01
peptidyl-serine modification (GO:0018209)	75	3	2.65	+	1.13	7.49E-01
protein localization to endoplasmic reticulum (GO:0070972)	25	1	0.88	+	1.13	5.94E-01
sodium ion transmembrane transport (GO:0035725)	50	2	1.77	+	1.13	6.97E-01
Golgi to plasma membrane transport (GO:0006893)	25	1	0.88	+	1.13	5.94E-01
nucleic acid metabolic process (GO:0090304)	754	30	26.69	+	1.12	4.77E-01
nucleobase-containing compound catabolic process (GO:0034655)	101	4	3.57	+	1.12	7.83E-01
microtubule cytoskeleton organization (GO:0000226)	177	7	6.26	+	1.12	6.81E-01
chemical homeostasis (GO:0048878)	177	7	6.26	+	1.12	6.81E-01
organic cyclic compound catabolic process (GO:1901361)	127	5	4.5	+	1.11	8.06E-01
positive regulation of biological process (GO:0048518)	941	37	33.31	+	1.11	4.64E-01
phosphate-containing compound metabolic process (GO:0006796)	560	22	19.82	+	1.11	5.59E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	306	12	10.83	+	1.11	6.39E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	51	2	1.81	+	1.11	7.02E-01
regulation of protein polymerization (GO:0032271)	51	2	1.81	+	1.11	7.02E-01
phosphorus metabolic process (GO:0006793)	563	22	19.93	+	1.1	6.40E-01
homeostatic process (GO:0042592)	205	8	7.26	+	1.1	7.03E-01
cilium organization (GO:0044782)	129	5	4.57	+	1.1	8.08E-01
nucleobase-containing compound metabolic process (GO:0006139)	906	35	32.07	+	1.09	5.75E-01
positive regulation of cellular biosynthetic process (GO:0031328)	311	12	11.01	+	1.09	7.55E-01
cellular aromatic compound metabolic process (GO:0006725)	961	37	34.01	+	1.09	5.85E-01
regulation of Rho protein signal transduction (GO:0035023)	26	1	0.92	+	1.09	6.09E-01
heterochromatin organization (GO:0070828)	26	1	0.92	+	1.09	6.09E-01
translational initiation (GO:0006413)	26	1	0.92	+	1.09	6.09E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	1	0.92	+	1.09	6.09E-01
glycosylation (GO:0070085)	104	4	3.68	+	1.09	7.87E-01
cellular response to starvation (GO:0009267)	26	1	0.92	+	1.09	6.09E-01
regulation of exocytosis (GO:0017157)	26	1	0.92	+	1.09	6.09E-01
positive regulation of biosynthetic process (GO:0009891)	312	12	11.04	+	1.09	7.55E-01
cellular modified amino acid metabolic process (GO:0006575)	52	2	1.84	+	1.09	7.07E-01
biological regulation (GO:0065007)	3850	148	136.27	+	1.09	2.27E-01
response to organic substance (GO:0010033)	261	10	9.24	+	1.08	7.34E-01
inorganic cation transmembrane transport (GO:0098662)	209	8	7.4	+	1.08	7.07E-01
endosomal transport (GO:0016197)	105	4	3.72	+	1.08	7.89E-01
monoatomic cation transmembrane transport (GO:0098655)	210	8	7.43	+	1.08	7.09E-01
rRNA metabolic process (GO:0016072)	105	4	3.72	+	1.08	7.89E-01
signal transduction (GO:0007165)	1184	45	41.91	+	1.07	6.19E-01
positive regulation of kinase activity (GO:0033674)	79	3	2.8	+	1.07	7.59E-01
monoatomic cation homeostasis (GO:0055080)	132	5	4.67	+	1.07	8.11E-01
ribosome biogenesis (GO:0042254)	132	5	4.67	+	1.07	8.11E-01
cellular process (GO:0009987)	5901	223	208.87	+	1.07	1.74E-01
chromatin organization (GO:0006325)	106	4	3.75	+	1.07	7.90E-01
membrane fusion (GO:0061025)	53	2	1.88	+	1.07	7.12E-01
purine-containing compound biosynthetic process (GO:0072522)	53	2	1.88	+	1.07	7.12E-01
regulation of transcription by RNA polymerase II (GO:0006357)	956	36	33.84	+	1.06	6.49E-01
positive regulation of cellular metabolic process (GO:0031325)	478	18	16.92	+	1.06	8.00E-01
positive regulation of transferase activity (GO:0051347)	80	3	2.83	+	1.06	7.62E-01
organic hydroxy compound metabolic process (GO:1901615)	80	3	2.83	+	1.06	7.62E-01
membrane organization (GO:0061024)	160	6	5.66	+	1.06	8.28E-01
gene expression (GO:0010467)	747	28	26.44	+	1.06	7.59E-01
regulation of kinase activity (GO:0043549)	134	5	4.74	+	1.05	8.13E-01
cellular component organization or biogenesis (GO:0071840)	1773	66	62.76	+	1.05	6.28E-01
cellular response to stimulus (GO:0051716)	1506	56	53.31	+	1.05	6.56E-01
cellular component organization (GO:0016043)	1668	62	59.04	+	1.05	6.69E-01
negative regulation of signal transduction (GO:0009968)	162	6	5.73	+	1.05	8.30E-01
monoatomic ion homeostasis (GO:0050801)	135	5	4.78	+	1.05	8.14E-01
Ras protein signal transduction (GO:0007265)	27	1	0.96	+	1.05	6.22E-01
cellular response to topologically incorrect protein (GO:0035967)	27	1	0.96	+	1.05	6.22E-01
response to topologically incorrect protein (GO:0035966)	27	1	0.96	+	1.05	6.22E-01
mRNA destabilization (GO:0061157)	27	1	0.96	+	1.05	6.22E-01
mitochondrial gene expression (GO:0140053)	27	1	0.96	+	1.05	6.22E-01
protein localization to cell periphery (GO:1990778)	54	2	1.91	+	1.05	7.17E-01
aminoglycan metabolic process (GO:0006022)	27	1	0.96	+	1.05	6.22E-01
phosphatidylinositol biosynthetic process (GO:0006661)	54	2	1.91	+	1.05	7.17E-01
camera-type eye development (GO:0043010)	27	1	0.96	+	1.05	6.22E-01
RNA destabilization (GO:0050779)	27	1	0.96	+	1.05	6.22E-01
negative regulation of cellular catabolic process (GO:0031330)	27	1	0.96	+	1.05	6.22E-01
cellular response to nutrient levels (GO:0031669)	27	1	0.96	+	1.05	6.22E-01
cellular response to extracellular stimulus (GO:0031668)	27	1	0.96	+	1.05	6.22E-01
sodium ion transport (GO:0006814)	54	2	1.91	+	1.05	7.17E-01
cellular nitrogen compound metabolic process (GO:0034641)	1081	40	38.26	+	1.05	7.31E-01
organic cyclic compound metabolic process (GO:1901360)	1001	37	35.43	+	1.04	7.89E-01
cellular response to chemical stimulus (GO:0070887)	245	9	8.67	+	1.04	8.61E-01
heterocycle metabolic process (GO:0046483)	953	35	33.73	+	1.04	7.84E-01
regulation of cellular process (GO:0050794)	3432	126	121.48	+	1.04	6.25E-01
cytoskeleton organization (GO:0007010)	436	16	15.43	+	1.04	8.95E-01
regulation of biological process (GO:0050789)	3637	133	128.73	+	1.03	6.70E-01
response to stimulus (GO:0050896)	1641	60	58.08	+	1.03	7.74E-01
positive regulation of intracellular signal transduction (GO:1902533)	137	5	4.85	+	1.03	8.17E-01
regulation of transferase activity (GO:0051338)	137	5	4.85	+	1.03	8.17E-01
positive regulation of response to stimulus (GO:0048584)	247	9	8.74	+	1.03	8.62E-01
post-transcriptional regulation of gene expression (GO:0010608)	110	4	3.89	+	1.03	7.97E-01
purine-containing compound metabolic process (GO:0072521)	110	4	3.89	+	1.03	7.97E-01
intracellular calcium ion homeostasis (GO:0006874)	55	2	1.95	+	1.03	7.22E-01
glycoprotein metabolic process (GO:0009100)	138	5	4.88	+	1.02	8.18E-01
Unclassified (UNCLASSIFIED)	4366	158	154.54	+	1.02	7.22E-01
establishment of localization in cell (GO:0051649)	527	19	18.65	+	1.02	9.04E-01
macromolecule biosynthetic process (GO:0009059)	945	34	33.45	+	1.02	9.27E-01
macromolecule metabolic process (GO:0043170)	2097	75	74.22	+	1.01	8.97E-01
macromolecule modification (GO:0043412)	867	31	30.69	+	1.01	9.24E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	56	2	1.98	+	1.01	1.00E+00
negative regulation of cell communication (GO:0010648)	168	6	5.95	+	1.01	8.35E-01
negative regulation of signaling (GO:0023057)	168	6	5.95	+	1.01	8.35E-01
protein acylation (GO:0043543)	28	1	0.99	+	1.01	1.00E+00
integrin-mediated signaling pathway (GO:0007229)	28	1	0.99	+	1.01	1.00E+00
maturation of SSU-rRNA (GO:0030490)	28	1	0.99	+	1.01	1.00E+00
protein localization to membrane (GO:0072657)	112	4	3.96	+	1.01	1.00E+00
late endosome to vacuole transport (GO:0045324)	28	1	0.99	+	1.01	1.00E+00
hemopoiesis (GO:0030097)	28	1	0.99	+	1.01	1.00E+00
cellular response to external stimulus (GO:0071496)	28	1	0.99	+	1.01	1.00E+00
apoptotic process (GO:0006915)	56	2	1.98	+	1.01	1.00E+00
chromosome segregation (GO:0007059)	84	3	2.97	+	1.01	1.00E+00
positive regulation of response to external stimulus (GO:0032103)	28	1	0.99	+	1.01	1.00E+00
actin cytoskeleton organization (GO:0030036)	225	8	7.96	+	1	1.00E+00
regulation of organelle organization (GO:0033043)	197	7	6.97	+	1	1.00E+00
regulation of DNA-templated transcription (GO:0006355)	1126	40	39.86	+	1	9.33E-01
regulation of RNA biosynthetic process (GO:2001141)	1126	40	39.86	+	1	9.33E-01
response to growth factor (GO:0070848)	85	3	3.01	-	1	1.00E+00
cellular response to growth factor stimulus (GO:0071363)	85	3	3.01	-	1	1.00E+00
regulation of protein-containing complex assembly (GO:0043254)	57	2	2.02	-	0.99	1.00E+00
protein ubiquitination (GO:0016567)	171	6	6.05	-	0.99	1.00E+00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	2.02	-	0.99	1.00E+00
negative regulation of biological process (GO:0048519)	772	27	27.33	-	0.99	1.00E+00
biological_process (GO:0008150)	8065	282	285.46	-	0.99	7.22E-01
monoatomic ion transport (GO:0006811)	315	11	11.15	-	0.99	1.00E+00
peptidyl-amino acid modification (GO:0018193)	201	7	7.11	-	0.98	1.00E+00
nucleotide metabolic process (GO:0009117)	115	4	4.07	-	0.98	1.00E+00
cellular metabolic process (GO:0044237)	2220	77	78.58	-	0.98	8.99E-01
protein modification process (GO:0036211)	780	27	27.61	-	0.98	1.00E+00
transmembrane transport (GO:0055085)	434	15	15.36	-	0.98	1.00E+00
nitrogen compound metabolic process (GO:0006807)	2404	83	85.09	-	0.98	8.54E-01
cellular nitrogen compound catabolic process (GO:0044270)	116	4	4.11	-	0.97	1.00E+00
regulation of chromosome organization (GO:0033044)	29	1	1.03	-	0.97	1.00E+00
heterocycle catabolic process (GO:0046700)	116	4	4.11	-	0.97	1.00E+00
alcohol metabolic process (GO:0006066)	58	2	2.05	-	0.97	1.00E+00
macromolecule methylation (GO:0043414)	58	2	2.05	-	0.97	1.00E+00
methylation (GO:0032259)	58	2	2.05	-	0.97	1.00E+00
organelle fusion (GO:0048284)	58	2	2.05	-	0.97	1.00E+00
actin filament-based process (GO:0030029)	232	8	8.21	-	0.97	1.00E+00
calcium ion transmembrane import into cytosol (GO:0097553)	29	1	1.03	-	0.97	1.00E+00
"negative regulation of gene expression, epigenetic (GO:0045814)"	29	1	1.03	-	0.97	1.00E+00
negative regulation of molecular function (GO:0044092)	87	3	3.08	-	0.97	1.00E+00
ubiquitin-dependent protein catabolic process (GO:0006511)	204	7	7.22	-	0.97	1.00E+00
cellular localization (GO:0051641)	761	26	26.94	-	0.97	9.20E-01
positive regulation of metabolic process (GO:0009893)	529	18	18.72	-	0.96	1.00E+00
protein maturation (GO:0051604)	177	6	6.26	-	0.96	1.00E+00
cellular homeostasis (GO:0019725)	148	5	5.24	-	0.95	1.00E+00
peptide metabolic process (GO:0006518)	178	6	6.3	-	0.95	1.00E+00
response to nitrogen compound (GO:1901698)	119	4	4.21	-	0.95	1.00E+00
cellular biosynthetic process (GO:0044249)	1224	41	43.32	-	0.95	8.07E-01
organic substance metabolic process (GO:0071704)	2755	92	97.51	-	0.94	5.59E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1469	49	52	-	0.94	7.07E-01
calcium ion transmembrane transport (GO:0070588)	60	2	2.12	-	0.94	1.00E+00
nucleotide biosynthetic process (GO:0009165)	60	2	2.12	-	0.94	1.00E+00
cytoskeleton-dependent intracellular transport (GO:0030705)	60	2	2.12	-	0.94	1.00E+00
calcium-mediated signaling (GO:0019722)	30	1	1.06	-	0.94	1.00E+00
regulation of vesicle-mediated transport (GO:0060627)	60	2	2.12	-	0.94	1.00E+00
proteoglycan metabolic process (GO:0006029)	30	1	1.06	-	0.94	1.00E+00
metal ion transport (GO:0030001)	240	8	8.49	-	0.94	1.00E+00
positive regulation of mRNA catabolic process (GO:0061014)	30	1	1.06	-	0.94	1.00E+00
protein polymerization (GO:0051258)	30	1	1.06	-	0.94	1.00E+00
modification-dependent protein catabolic process (GO:0019941)	210	7	7.43	-	0.94	1.00E+00
endocytic recycling (GO:0032456)	30	1	1.06	-	0.94	1.00E+00
apoptotic signaling pathway (GO:0097190)	30	1	1.06	-	0.94	1.00E+00
ribonucleoprotein complex biogenesis (GO:0022613)	180	6	6.37	-	0.94	1.00E+00
RNA processing (GO:0006396)	331	11	11.72	-	0.94	1.00E+00
regulation of cellular metabolic process (GO:0031323)	1716	57	60.74	-	0.94	6.73E-01
cellular component biogenesis (GO:0044085)	663	22	23.47	-	0.94	8.29E-01
primary metabolic process (GO:0044238)	2622	87	92.81	-	0.94	5.13E-01
regulation of cellular biosynthetic process (GO:0031326)	1477	49	52.28	-	0.94	7.07E-01
regulation of gene expression (GO:0010468)	1449	48	51.29	-	0.94	7.05E-01
regulation of biosynthetic process (GO:0009889)	1482	49	52.46	-	0.93	6.53E-01
regulation of RNA metabolic process (GO:0051252)	1242	41	43.96	-	0.93	6.86E-01
