PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
intracellular monoatomic ion homeostasis (GO:0006873)	113	5	3.16	+	1.58	2.49E-01
cell projection assembly (GO:0030031)	137	6	3.83	+	1.57	2.86E-01
anatomical structure development (GO:0048856)	937	41	26.2	+	1.56	3.81E-03
neurogenesis (GO:0022008)	320	14	8.95	+	1.56	8.56E-02
regulation of actin polymerization or depolymerization (GO:0008064)	46	2	1.29	+	1.55	3.70E-01
meiotic cell cycle process (GO:1903046)	46	2	1.29	+	1.55	3.70E-01
lipid translocation (GO:0034204)	23	1	0.64	+	1.55	4.79E-01
heterochromatin formation (GO:0031507)	23	1	0.64	+	1.55	4.79E-01
organophosphate catabolic process (GO:0046434)	46	2	1.29	+	1.55	3.70E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	69	3	1.93	+	1.55	4.44E-01
glycosaminoglycan metabolic process (GO:0030203)	23	1	0.64	+	1.55	4.79E-01
positive regulation of cellular component biogenesis (GO:0044089)	46	2	1.29	+	1.55	3.70E-01
membrane organization (GO:0061024)	163	7	4.56	+	1.54	2.27E-01
regulation of cell projection organization (GO:0031344)	70	3	1.96	+	1.53	4.48E-01
cilium assembly (GO:0060271)	117	5	3.27	+	1.53	2.65E-01
protein localization to nucleus (GO:0034504)	47	2	1.31	+	1.52	3.80E-01
positive regulation of cellular catabolic process (GO:0031331)	47	2	1.31	+	1.52	3.80E-01
positive regulation of MAPK cascade (GO:0043410)	71	3	1.99	+	1.51	4.52E-01
nervous system development (GO:0007399)	426	18	11.91	+	1.51	7.26E-02
regulation of actin filament length (GO:0030832)	48	2	1.34	+	1.49	3.90E-01
positive regulation of cell adhesion (GO:0045785)	24	1	0.67	+	1.49	4.94E-01
regulation of innate immune response (GO:0045088)	24	1	0.67	+	1.49	4.94E-01
translational elongation (GO:0006414)	24	1	0.67	+	1.49	4.94E-01
protein localization to plasma membrane (GO:0072659)	48	2	1.34	+	1.49	3.90E-01
regulation of cytokine production (GO:0001817)	24	1	0.67	+	1.49	4.94E-01
negative regulation of cell cycle phase transition (GO:1901988)	48	2	1.34	+	1.49	3.90E-01
hexose metabolic process (GO:0019318)	24	1	0.67	+	1.49	4.94E-01
regulation of synaptic plasticity (GO:0048167)	24	1	0.67	+	1.49	4.94E-01
regulation of anatomical structure size (GO:0090066)	73	3	2.04	+	1.47	4.60E-01
glycerophospholipid biosynthetic process (GO:0046474)	73	3	2.04	+	1.47	4.60E-01
calcium ion transport (GO:0006816)	73	3	2.04	+	1.47	4.60E-01
cell differentiation (GO:0030154)	633	26	17.7	+	1.47	4.70E-02
cellular developmental process (GO:0048869)	633	26	17.7	+	1.47	4.70E-02
developmental process (GO:0032502)	1049	43	29.33	+	1.47	1.07E-02
potassium ion transmembrane transport (GO:0071805)	98	4	2.74	+	1.46	3.55E-01
potassium ion transport (GO:0006813)	98	4	2.74	+	1.46	3.55E-01
multicellular organismal process (GO:0032501)	886	36	24.77	+	1.45	2.57E-02
regulation of GTPase activity (GO:0043087)	74	3	2.07	+	1.45	4.64E-01
intracellular chemical homeostasis (GO:0055082)	124	5	3.47	+	1.44	4.01E-01
import into cell (GO:0098657)	199	8	5.56	+	1.44	2.74E-01
inorganic ion transmembrane transport (GO:0098660)	249	10	6.96	+	1.44	2.39E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	25	1	0.7	+	1.43	5.08E-01
hormone-mediated signaling pathway (GO:0009755)	25	1	0.7	+	1.43	5.08E-01
proteoglycan biosynthetic process (GO:0030166)	25	1	0.7	+	1.43	5.08E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	25	1	0.7	+	1.43	5.08E-01
inorganic anion transport (GO:0015698)	50	2	1.4	+	1.43	6.51E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	25	1	0.7	+	1.43	5.08E-01
response to fibroblast growth factor (GO:0071774)	25	1	0.7	+	1.43	5.08E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	0.7	+	1.43	5.08E-01
protein depolymerization (GO:0051261)	25	1	0.7	+	1.43	5.08E-01
membrane depolarization (GO:0051899)	25	1	0.7	+	1.43	5.08E-01
plasma membrane organization (GO:0007009)	25	1	0.7	+	1.43	5.08E-01
system development (GO:0048731)	575	23	16.08	+	1.43	9.02E-02
enzyme-linked receptor protein signaling pathway (GO:0007167)	227	9	6.35	+	1.42	3.03E-01
animal organ development (GO:0048513)	304	12	8.5	+	1.41	2.15E-01
negative regulation of cell cycle process (GO:0010948)	51	2	1.43	+	1.4	6.54E-01
mRNA catabolic process (GO:0006402)	51	2	1.43	+	1.4	6.54E-01
regulation of membrane potential (GO:0042391)	102	4	2.85	+	1.4	3.74E-01
regulation of protein polymerization (GO:0032271)	51	2	1.43	+	1.4	6.54E-01
chromatin remodeling (GO:0006338)	102	4	2.85	+	1.4	3.74E-01
Golgi vesicle transport (GO:0048193)	128	5	3.58	+	1.4	4.11E-01
regulation of supramolecular fiber organization (GO:1902903)	77	3	2.15	+	1.39	4.77E-01
sulfur compound metabolic process (GO:0006790)	77	3	2.15	+	1.39	4.77E-01
protein phosphorylation (GO:0006468)	206	8	5.76	+	1.39	2.89E-01
homeostatic process (GO:0042592)	206	8	5.76	+	1.39	2.89E-01
regulation of Rho protein signal transduction (GO:0035023)	26	1	0.73	+	1.38	5.22E-01
lipid homeostasis (GO:0055088)	26	1	0.73	+	1.38	5.22E-01
cellular response to starvation (GO:0009267)	26	1	0.73	+	1.38	5.22E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	0.73	+	1.38	5.22E-01
cellular modified amino acid metabolic process (GO:0006575)	52	2	1.45	+	1.38	6.57E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	183	7	5.12	+	1.37	3.62E-01
signaling (GO:0023052)	1343	51	37.55	+	1.36	2.26E-02
cell communication (GO:0007154)	1371	52	38.33	+	1.36	2.37E-02
monoatomic cation homeostasis (GO:0055080)	133	5	3.72	+	1.34	4.25E-01
cilium organization (GO:0044782)	133	5	3.72	+	1.34	4.25E-01
ceramide biosynthetic process (GO:0046513)	27	1	0.75	+	1.32	5.35E-01
Rho protein signal transduction (GO:0007266)	27	1	0.75	+	1.32	5.35E-01
heterochromatin organization (GO:0070828)	27	1	0.75	+	1.32	5.35E-01
extracellular matrix organization (GO:0030198)	108	4	3.02	+	1.32	5.48E-01
mRNA destabilization (GO:0061157)	27	1	0.75	+	1.32	5.35E-01
mitochondrial gene expression (GO:0140053)	27	1	0.75	+	1.32	5.35E-01
meiotic cell cycle (GO:0051321)	54	2	1.51	+	1.32	6.64E-01
aminoglycan metabolic process (GO:0006022)	27	1	0.75	+	1.32	5.35E-01
extracellular structure organization (GO:0043062)	108	4	3.02	+	1.32	5.48E-01
inorganic cation transmembrane transport (GO:0098662)	216	8	6.04	+	1.32	4.00E-01
external encapsulating structure organization (GO:0045229)	108	4	3.02	+	1.32	5.48E-01
RNA destabilization (GO:0050779)	27	1	0.75	+	1.32	5.35E-01
cellular response to nutrient levels (GO:0031669)	27	1	0.75	+	1.32	5.35E-01
cellular response to extracellular stimulus (GO:0031668)	27	1	0.75	+	1.32	5.35E-01
monoatomic cation transmembrane transport (GO:0098655)	217	8	6.07	+	1.32	4.02E-01
monoatomic ion homeostasis (GO:0050801)	136	5	3.8	+	1.31	4.34E-01
chromatin organization (GO:0006325)	109	4	3.05	+	1.31	5.50E-01
monoatomic ion transmembrane transport (GO:0034220)	273	10	7.63	+	1.31	3.51E-01
organic hydroxy compound metabolic process (GO:1901615)	82	3	2.29	+	1.31	5.00E-01
phosphorylation (GO:0016310)	219	8	6.12	+	1.31	4.05E-01
cell cycle process (GO:0022402)	247	9	6.91	+	1.3	4.30E-01
nuclear chromosome segregation (GO:0098813)	55	2	1.54	+	1.3	6.67E-01
RNA catabolic process (GO:0006401)	55	2	1.54	+	1.3	6.67E-01
canonical Wnt signaling pathway (GO:0060070)	55	2	1.54	+	1.3	6.67E-01
intracellular calcium ion homeostasis (GO:0006874)	55	2	1.54	+	1.3	6.67E-01
metal ion transport (GO:0030001)	248	9	6.93	+	1.3	4.31E-01
glycerolipid biosynthetic process (GO:0045017)	83	3	2.32	+	1.29	5.05E-01
cellular component organization (GO:0016043)	1707	61	47.73	+	1.28	4.01E-02
Ras protein signal transduction (GO:0007265)	28	1	0.78	+	1.28	5.48E-01
monosaccharide metabolic process (GO:0005996)	28	1	0.78	+	1.28	5.48E-01
protein localization to cell periphery (GO:1990778)	56	2	1.57	+	1.28	6.71E-01
hemopoiesis (GO:0030097)	28	1	0.78	+	1.28	5.48E-01
cellular response to external stimulus (GO:0071496)	28	1	0.78	+	1.28	5.48E-01
small molecule biosynthetic process (GO:0044283)	113	4	3.16	+	1.27	5.60E-01
phospholipid biosynthetic process (GO:0008654)	85	3	2.38	+	1.26	5.15E-01
regulation of protein-containing complex assembly (GO:0043254)	57	2	1.59	+	1.25	6.74E-01
apoptotic process (GO:0006915)	57	2	1.59	+	1.25	6.74E-01
Wnt signaling pathway (GO:0016055)	57	2	1.59	+	1.25	6.74E-01
cellular component assembly (GO:0022607)	571	20	15.97	+	1.25	2.97E-01
regulation of organelle organization (GO:0033043)	202	7	5.65	+	1.24	5.15E-01
protein acylation (GO:0043543)	29	1	0.81	+	1.23	5.61E-01
regulation of TOR signaling (GO:0032006)	29	1	0.81	+	1.23	5.61E-01
calcium ion transmembrane import into cytosol (GO:0097553)	29	1	0.81	+	1.23	5.61E-01
cell activation (GO:0001775)	29	1	0.81	+	1.23	5.61E-01
negative regulation of cellular catabolic process (GO:0031330)	29	1	0.81	+	1.23	5.61E-01
cellular component organization or biogenesis (GO:0071840)	1812	62	50.67	+	1.22	9.01E-02
regulation of actin cytoskeleton organization (GO:0032956)	88	3	2.46	+	1.22	7.38E-01
heterocycle biosynthetic process (GO:0018130)	206	7	5.76	+	1.22	5.22E-01
monoatomic cation transport (GO:0006812)	265	9	7.41	+	1.21	5.68E-01
cell-cell signaling by wnt (GO:0198738)	59	2	1.65	+	1.21	6.81E-01
monoatomic ion transport (GO:0006811)	325	11	9.09	+	1.21	4.93E-01
response to external stimulus (GO:0009605)	148	5	4.14	+	1.21	6.11E-01
transmembrane transport (GO:0055085)	445	15	12.44	+	1.21	4.62E-01
regulation of actin filament-based process (GO:0032970)	89	3	2.49	+	1.21	7.40E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	89	3	2.49	+	1.21	7.40E-01
chemical homeostasis (GO:0048878)	178	6	4.98	+	1.21	6.42E-01
glycoprotein biosynthetic process (GO:0009101)	119	4	3.33	+	1.2	5.77E-01
cellular homeostasis (GO:0019725)	149	5	4.17	+	1.2	6.13E-01
calcium ion transmembrane transport (GO:0070588)	60	2	1.68	+	1.19	6.85E-01
negative regulation of intracellular signal transduction (GO:1902532)	60	2	1.68	+	1.19	6.85E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	60	2	1.68	+	1.19	6.85E-01
aromatic compound biosynthetic process (GO:0019438)	210	7	5.87	+	1.19	5.30E-01
alcohol metabolic process (GO:0006066)	60	2	1.68	+	1.19	6.85E-01
regulation of vesicle-mediated transport (GO:0060627)	60	2	1.68	+	1.19	6.85E-01
proteoglycan metabolic process (GO:0006029)	30	1	0.84	+	1.19	5.73E-01
positive regulation of mRNA catabolic process (GO:0061014)	30	1	0.84	+	1.19	5.73E-01
"negative regulation of gene expression, epigenetic (GO:0045814)"	30	1	0.84	+	1.19	5.73E-01
cell cycle (GO:0007049)	271	9	7.58	+	1.19	5.73E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	121	4	3.38	+	1.18	5.83E-01
aromatic compound catabolic process (GO:0019439)	121	4	3.38	+	1.18	5.83E-01
regulation of transcription by RNA polymerase II (GO:0006357)	1002	33	28.02	+	1.18	3.18E-01
negative regulation of cell cycle (GO:0045786)	61	2	1.71	+	1.17	6.89E-01
regulation of cellular component organization (GO:0051128)	306	10	8.56	+	1.17	5.96E-01
protein glycosylation (GO:0006486)	92	3	2.57	+	1.17	7.44E-01
macromolecule glycosylation (GO:0043413)	92	3	2.57	+	1.17	7.44E-01
organelle assembly (GO:0070925)	277	9	7.75	+	1.16	5.80E-01
programmed cell death (GO:0012501)	62	2	1.73	+	1.15	6.92E-01
macroautophagy (GO:0016236)	62	2	1.73	+	1.15	6.92E-01
negative regulation of Wnt signaling pathway (GO:0030178)	31	1	0.87	+	1.15	5.85E-01
cell death (GO:0008219)	62	2	1.73	+	1.15	6.92E-01
regulation of cellular component size (GO:0032535)	62	2	1.73	+	1.15	6.92E-01
glycerophospholipid metabolic process (GO:0006650)	124	4	3.47	+	1.15	7.80E-01
positive regulation of DNA-templated transcription (GO:0045893)	248	8	6.93	+	1.15	6.94E-01
endocytic recycling (GO:0032456)	31	1	0.87	+	1.15	5.85E-01
establishment of protein localization to membrane (GO:0090150)	62	2	1.73	+	1.15	6.92E-01
positive regulation of RNA biosynthetic process (GO:1902680)	248	8	6.93	+	1.15	6.94E-01
apoptotic signaling pathway (GO:0097190)	31	1	0.87	+	1.15	5.85E-01
signal transduction (GO:0007165)	1213	39	33.92	+	1.15	3.59E-01
regulation of cytoskeleton organization (GO:0051493)	125	4	3.5	+	1.14	7.81E-01
calcium ion homeostasis (GO:0055074)	63	2	1.76	+	1.14	6.96E-01
positive regulation of RNA metabolic process (GO:0051254)	285	9	7.97	+	1.13	7.14E-01
organic cyclic compound catabolic process (GO:1901361)	127	4	3.55	+	1.13	7.83E-01
regulation of DNA-templated transcription (GO:0006355)	1176	37	32.88	+	1.13	4.57E-01
regulation of RNA biosynthetic process (GO:2001141)	1176	37	32.88	+	1.13	4.57E-01
phosphatidylinositol metabolic process (GO:0046488)	96	3	2.68	+	1.12	7.52E-01
protein-DNA complex organization (GO:0071824)	128	4	3.58	+	1.12	7.84E-01
phospholipid transport (GO:0015914)	32	1	0.89	+	1.12	5.97E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	32	1	0.89	+	1.12	5.97E-01
regulation of multicellular organismal development (GO:2000026)	96	3	2.68	+	1.12	7.52E-01
cell surface receptor signaling pathway (GO:0007166)	483	15	13.51	+	1.11	6.72E-01
biological regulation (GO:0065007)	3962	123	110.78	+	1.11	1.63E-01
cellular component biogenesis (GO:0044085)	678	21	18.96	+	1.11	6.31E-01
vacuolar transport (GO:0007034)	65	2	1.82	+	1.1	7.04E-01
organic cyclic compound biosynthetic process (GO:1901362)	229	7	6.4	+	1.09	6.88E-01
negative regulation of DNA-templated transcription (GO:0045892)	164	5	4.59	+	1.09	8.09E-01
negative regulation of RNA biosynthetic process (GO:1902679)	164	5	4.59	+	1.09	8.09E-01
cellular process (GO:0009987)	6038	184	168.83	+	1.09	1.06E-01
alcohol biosynthetic process (GO:0046165)	33	1	0.92	+	1.08	6.08E-01
positive regulation of nervous system development (GO:0051962)	33	1	0.92	+	1.08	6.08E-01
positive regulation of apoptotic process (GO:0043065)	33	1	0.92	+	1.08	6.08E-01
response to starvation (GO:0042594)	33	1	0.92	+	1.08	6.08E-01
regulation of defense response (GO:0031347)	33	1	0.92	+	1.08	6.08E-01
regulation of cellular catabolic process (GO:0031329)	99	3	2.77	+	1.08	7.57E-01
cytokinesis (GO:0000910)	33	1	0.92	+	1.08	6.08E-01
regulation of RNA metabolic process (GO:0051252)	1298	39	36.29	+	1.07	5.95E-01
vacuole organization (GO:0007033)	67	2	1.87	+	1.07	7.12E-01
nucleobase-containing compound catabolic process (GO:0034655)	101	3	2.82	+	1.06	7.61E-01
positive regulation of cellular process (GO:0048522)	880	26	24.61	+	1.06	7.50E-01
negative regulation of supramolecular fiber organization (GO:1902904)	34	1	0.95	+	1.05	6.19E-01
small GTPase-mediated signal transduction (GO:0007264)	68	2	1.9	+	1.05	7.16E-01
negative regulation of transport (GO:0051051)	34	1	0.95	+	1.05	6.19E-01
angiogenesis (GO:0001525)	34	1	0.95	+	1.05	6.19E-01
protein targeting to membrane (GO:0006612)	34	1	0.95	+	1.05	6.19E-01
nucleoside phosphate catabolic process (GO:1901292)	34	1	0.95	+	1.05	6.19E-01
regulation of biological process (GO:0050789)	3747	110	104.77	+	1.05	5.55E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	307	9	8.58	+	1.05	8.60E-01
regulation of signaling (GO:0023051)	549	16	15.35	+	1.04	7.92E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1340	39	37.47	+	1.04	7.93E-01
glycoprotein metabolic process (GO:0009100)	138	4	3.86	+	1.04	7.96E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	384	11	10.74	+	1.02	8.75E-01
cellular response to stimulus (GO:0051716)	1537	44	42.98	+	1.02	8.69E-01
negative regulation of cytoskeleton organization (GO:0051494)	35	1	0.98	+	1.02	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	35	1	0.98	+	1.02	1.00E+00
positive regulation of mRNA metabolic process (GO:1903313)	35	1	0.98	+	1.02	1.00E+00
amino acid catabolic process (GO:0009063)	35	1	0.98	+	1.02	1.00E+00
action potential (GO:0001508)	35	1	0.98	+	1.02	1.00E+00
glycosylation (GO:0070085)	105	3	2.94	+	1.02	7.70E-01
regulation of cellular process (GO:0050794)	3536	101	98.87	+	1.02	8.10E-01
regulation of gene expression (GO:0010468)	1510	43	42.22	+	1.02	8.68E-01
glycerolipid metabolic process (GO:0046486)	141	4	3.94	+	1.01	8.00E-01
secretion by cell (GO:0032940)	106	3	2.96	+	1.01	7.72E-01
cellular localization (GO:0051641)	780	22	21.81	+	1.01	9.11E-01
Unclassified (UNCLASSIFIED)	4470	126	124.99	+	1.01	9.10E-01
protein targeting (GO:0006605)	71	2	1.99	+	1.01	1.00E+00
autophagy (GO:0006914)	71	2	1.99	+	1.01	1.00E+00
process utilizing autophagic mechanism (GO:0061919)	71	2	1.99	+	1.01	1.00E+00
protein-RNA complex assembly (GO:0022618)	71	2	1.99	+	1.01	1.00E+00
establishment of localization (GO:0051234)	1385	39	38.73	+	1.01	9.31E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1530	43	42.78	+	1.01	9.34E-01
phosphate-containing compound metabolic process (GO:0006796)	570	16	15.94	+	1	1.00E+00
localization (GO:0051179)	1535	43	42.92	+	1	1.00E+00
regulation of cellular biosynthetic process (GO:0031326)	1538	43	43	-	1	1.00E+00
phosphorus metabolic process (GO:0006793)	573	16	16.02	-	1	1.00E+00
regulation of biosynthetic process (GO:0009889)	1543	43	43.14	-	1	1.00E+00
biological_process (GO:0008150)	8262	230	231.01	-	1	9.10E-01
lipid biosynthetic process (GO:0008610)	180	5	5.03	-	0.99	1.00E+00
establishment of vesicle localization (GO:0051650)	36	1	1.01	-	0.99	1.00E+00
lipid catabolic process (GO:0016042)	72	2	2.01	-	0.99	1.00E+00
mitotic cell cycle phase transition (GO:0044772)	36	1	1.01	-	0.99	1.00E+00
cell cycle phase transition (GO:0044770)	36	1	1.01	-	0.99	1.00E+00
positive regulation of catabolic process (GO:0009896)	72	2	2.01	-	0.99	1.00E+00
negative regulation of catabolic process (GO:0009895)	36	1	1.01	-	0.99	1.00E+00
positive regulation of biological process (GO:0048518)	972	27	27.18	-	0.99	1.00E+00
positive regulation of signal transduction (GO:0009967)	181	5	5.06	-	0.99	1.00E+00
regulation of cell communication (GO:0010646)	545	15	15.24	-	0.98	1.00E+00
secretion (GO:0046903)	109	3	3.05	-	0.98	1.00E+00
cellular response to hormone stimulus (GO:0032870)	73	2	2.04	-	0.98	1.00E+00
transport (GO:0006810)	1315	36	36.77	-	0.98	1.00E+00
negative regulation of RNA metabolic process (GO:0051253)	183	5	5.12	-	0.98	1.00E+00
organophosphate metabolic process (GO:0019637)	293	8	8.19	-	0.98	1.00E+00
regulation of intracellular signal transduction (GO:1902531)	257	7	7.19	-	0.97	1.00E+00
embryo development (GO:0009790)	74	2	2.07	-	0.97	1.00E+00
vesicle localization (GO:0051648)	37	1	1.03	-	0.97	1.00E+00
response to extracellular stimulus (GO:0009991)	37	1	1.03	-	0.97	1.00E+00
epigenetic regulation of gene expression (GO:0040029)	37	1	1.03	-	0.97	1.00E+00
response to nutrient levels (GO:0031667)	37	1	1.03	-	0.97	1.00E+00
regulation of cellular metabolic process (GO:0031323)	1780	48	49.77	-	0.96	8.77E-01
response to stimulus (GO:0050896)	1672	45	46.75	-	0.96	8.73E-01
organelle organization (GO:0006996)	1042	28	29.14	-	0.96	9.22E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	299	8	8.36	-	0.96	1.00E+00
negative regulation of biological process (GO:0048519)	789	21	22.06	-	0.95	9.11E-01
negative regulation of biosynthetic process (GO:0009890)	301	8	8.42	-	0.95	1.00E+00
negative regulation of cellular biosynthetic process (GO:0031327)	301	8	8.42	-	0.95	1.00E+00
peptidyl-serine phosphorylation (GO:0018105)	76	2	2.13	-	0.94	1.00E+00
epithelium development (GO:0060429)	38	1	1.06	-	0.94	1.00E+00
neurotransmitter secretion (GO:0007269)	38	1	1.06	-	0.94	1.00E+00
protein-RNA complex organization (GO:0071826)	76	2	2.13	-	0.94	1.00E+00
blood vessel morphogenesis (GO:0048514)	38	1	1.06	-	0.94	1.00E+00
peptidyl-serine modification (GO:0018209)	76	2	2.13	-	0.94	1.00E+00
signal release from synapse (GO:0099643)	38	1	1.06	-	0.94	1.00E+00
mitochondrion organization (GO:0007005)	114	3	3.19	-	0.94	1.00E+00
cellular macromolecule localization (GO:0070727)	459	12	12.83	-	0.94	1.00E+00
protein localization (GO:0008104)	459	12	12.83	-	0.94	1.00E+00
protein localization to membrane (GO:0072657)	115	3	3.22	-	0.93	1.00E+00
response to abiotic stimulus (GO:0009628)	77	2	2.15	-	0.93	1.00E+00
cellular nitrogen compound catabolic process (GO:0044270)	116	3	3.24	-	0.92	1.00E+00
heterocycle catabolic process (GO:0046700)	116	3	3.24	-	0.92	1.00E+00
system process (GO:0003008)	116	3	3.24	-	0.92	1.00E+00
establishment of localization in cell (GO:0051649)	542	14	15.15	-	0.92	8.94E-01
phospholipid metabolic process (GO:0006644)	155	4	4.33	-	0.92	1.00E+00
blood vessel development (GO:0001568)	39	1	1.09	-	0.92	1.00E+00
cytosolic transport (GO:0016482)	39	1	1.09	-	0.92	1.00E+00
ERAD pathway (GO:0036503)	39	1	1.09	-	0.92	1.00E+00
chromosome organization (GO:0051276)	118	3	3.3	-	0.91	1.00E+00
regulation of metabolic process (GO:0019222)	1892	48	52.9	-	0.91	4.97E-01
regulation of cell cycle phase transition (GO:1901987)	79	2	2.21	-	0.91	1.00E+00
RNA metabolic process (GO:0016070)	514	13	14.37	-	0.9	8.91E-01
regulation of MAPK cascade (GO:0043408)	119	3	3.33	-	0.9	1.00E+00
regulation of nitrogen compound metabolic process (GO:0051171)	1627	41	45.49	-	0.9	5.20E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	200	5	5.59	-	0.89	1.00E+00
autophagy of mitochondrion (GO:0000422)	40	1	1.12	-	0.89	1.00E+00
positive regulation of kinase activity (GO:0033674)	80	2	2.24	-	0.89	1.00E+00
positive regulation of multicellular organismal process (GO:0051240)	80	2	2.24	-	0.89	1.00E+00
organophosphate biosynthetic process (GO:0090407)	160	4	4.47	-	0.89	1.00E+00
regulation of primary metabolic process (GO:0080090)	1648	41	46.08	-	0.89	4.71E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	322	8	9	-	0.89	8.65E-01
regulation of macromolecule metabolic process (GO:0060255)	1772	44	49.55	-	0.89	4.37E-01
regulation of catalytic activity (GO:0050790)	282	7	7.89	-	0.89	1.00E+00
export from cell (GO:0140352)	121	3	3.38	-	0.89	1.00E+00
positive regulation of transferase activity (GO:0051347)	81	2	2.26	-	0.88	1.00E+00
localization within membrane (GO:0051668)	162	4	4.53	-	0.88	1.00E+00
positive regulation of cell communication (GO:0010647)	203	5	5.68	-	0.88	1.00E+00
positive regulation of signaling (GO:0023056)	203	5	5.68	-	0.88	1.00E+00
peptidyl-amino acid modification (GO:0018193)	203	5	5.68	-	0.88	1.00E+00
positive regulation of cellular biosynthetic process (GO:0031328)	327	8	9.14	-	0.87	8.65E-01
organelle localization (GO:0051640)	123	3	3.44	-	0.87	1.00E+00
tRNA modification (GO:0006400)	41	1	1.15	-	0.87	1.00E+00
intracellular signaling cassette (GO:0141124)	164	4	4.59	-	0.87	1.00E+00
tube morphogenesis (GO:0035239)	41	1	1.15	-	0.87	1.00E+00
cell division (GO:0051301)	41	1	1.15	-	0.87	1.00E+00
ceramide metabolic process (GO:0006672)	41	1	1.15	-	0.87	1.00E+00
positive regulation of biosynthetic process (GO:0009891)	328	8	9.17	-	0.87	8.65E-01
sexual reproduction (GO:0019953)	82	2	2.29	-	0.87	1.00E+00
neurotransmitter transport (GO:0006836)	41	1	1.15	-	0.87	1.00E+00
negative regulation of cellular process (GO:0048523)	739	18	20.66	-	0.87	6.45E-01
positive regulation of cellular metabolic process (GO:0031325)	496	12	13.87	-	0.87	7.80E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	207	5	5.79	-	0.86	1.00E+00
establishment of protein localization (GO:0045184)	291	7	8.14	-	0.86	8.57E-01
regulation of hydrolase activity (GO:0051336)	125	3	3.5	-	0.86	1.00E+00
positive regulation of catalytic activity (GO:0043085)	167	4	4.67	-	0.86	1.00E+00
amide biosynthetic process (GO:0043604)	167	4	4.67	-	0.86	1.00E+00
negative regulation of cellular metabolic process (GO:0031324)	377	9	10.54	-	0.85	7.51E-01
DNA recombination (GO:0006310)	84	2	2.35	-	0.85	1.00E+00
sensory perception (GO:0007600)	42	1	1.17	-	0.85	1.00E+00
positive regulation of phosphorylation (GO:0042327)	127	3	3.55	-	0.84	1.00E+00
nucleic acid metabolic process (GO:0090304)	764	18	21.36	-	0.84	4.98E-01
nuclear transport (GO:0051169)	85	2	2.38	-	0.84	1.00E+00
regulation of transport (GO:0051049)	170	4	4.75	-	0.84	1.00E+00
nucleocytoplasmic transport (GO:0006913)	85	2	2.38	-	0.84	1.00E+00
regulation of localization (GO:0032879)	214	5	5.98	-	0.84	8.36E-01
signal release (GO:0023061)	43	1	1.2	-	0.83	1.00E+00
sphingolipid biosynthetic process (GO:0030148)	43	1	1.2	-	0.83	1.00E+00
proteinogenic amino acid metabolic process (GO:0170039)	43	1	1.2	-	0.83	1.00E+00
negative regulation of gene expression (GO:0010629)	129	3	3.61	-	0.83	1.00E+00
mitotic cell cycle (GO:0000278)	174	4	4.87	-	0.82	1.00E+00
exocytosis (GO:0006887)	87	2	2.43	-	0.82	1.00E+00
positive regulation of phosphorus metabolic process (GO:0010562)	131	3	3.66	-	0.82	1.00E+00
positive regulation of phosphate metabolic process (GO:0045937)	131	3	3.66	-	0.82	1.00E+00
vesicle-mediated transport (GO:0016192)	481	11	13.45	-	0.82	5.74E-01
macromolecule modification (GO:0043412)	879	20	24.58	-	0.81	3.96E-01
response to hormone (GO:0009725)	88	2	2.46	-	0.81	1.00E+00
translation (GO:0006412)	132	3	3.69	-	0.81	1.00E+00
regulation of transmembrane transporter activity (GO:0022898)	44	1	1.23	-	0.81	1.00E+00
reproductive process (GO:0022414)	88	2	2.46	-	0.81	1.00E+00
organic hydroxy compound biosynthetic process (GO:1901617)	44	1	1.23	-	0.81	1.00E+00
reproduction (GO:0000003)	88	2	2.46	-	0.81	1.00E+00
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	44	1	1.23	-	0.81	1.00E+00
cellular metabolic process (GO:0044237)	2255	51	63.05	-	0.81	9.13E-02
