PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.fst.50000kb.genenames_filtered.txt (357)	pyrr.fst.50000kb.genenames_filtered.txt (expected)	pyrr.fst.50000kb.genenames_filtered.txt (over/under)	pyrr.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
carbohydrate biosynthetic process (GO:0016051)	19	1	0.53	+	1.88	4.18E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	0.53	+	1.88	4.18E-01
chloride transport (GO:0006821)	38	2	1.07	+	1.88	2.89E-01
protein-containing complex localization (GO:0031503)	57	3	1.6	+	1.88	2.14E-01
regulation of apoptotic process (GO:0042981)	97	5	2.72	+	1.84	1.99E-01
import into nucleus (GO:0051170)	39	2	1.09	+	1.83	2.99E-01
ameboidal-type cell migration (GO:0001667)	39	2	1.09	+	1.83	2.99E-01
regulation of mRNA processing (GO:0050684)	39	2	1.09	+	1.83	2.99E-01
protein import into nucleus (GO:0006606)	39	2	1.09	+	1.83	2.99E-01
potassium ion transmembrane transport (GO:0071805)	98	5	2.75	+	1.82	2.02E-01
potassium ion transport (GO:0006813)	98	5	2.75	+	1.82	2.02E-01
cell development (GO:0048468)	316	16	8.86	+	1.81	2.27E-02
neuron projection development (GO:0031175)	199	10	5.58	+	1.79	7.67E-02
positive regulation of peptidase activity (GO:0010952)	20	1	0.56	+	1.78	4.34E-01
heart contraction (GO:0060047)	20	1	0.56	+	1.78	4.34E-01
acyl-CoA metabolic process (GO:0006637)	20	1	0.56	+	1.78	4.34E-01
monoatomic anion transmembrane transport (GO:0098656)	40	2	1.12	+	1.78	3.10E-01
epithelial cell differentiation (GO:0030855)	20	1	0.56	+	1.78	4.34E-01
export from cell (GO:0140352)	121	6	3.39	+	1.77	1.56E-01
membrane organization (GO:0061024)	163	8	4.57	+	1.75	1.42E-01
inorganic anion transmembrane transport (GO:0098661)	41	2	1.15	+	1.74	3.20E-01
system development (GO:0048731)	575	28	16.12	+	1.74	4.16E-03
macroautophagy (GO:0016236)	62	3	1.74	+	1.73	2.52E-01
regulation of RNA splicing (GO:0043484)	62	3	1.74	+	1.73	2.52E-01
cell morphogenesis (GO:0000902)	187	9	5.24	+	1.72	1.11E-01
positive regulation of translation (GO:0045727)	21	1	0.59	+	1.7	4.50E-01
regulation of chromosome segregation (GO:0051983)	21	1	0.59	+	1.7	4.50E-01
regulation of calcium ion transport (GO:0051924)	21	1	0.59	+	1.7	4.50E-01
heart process (GO:0003015)	21	1	0.59	+	1.7	4.50E-01
striated muscle contraction (GO:0006941)	21	1	0.59	+	1.7	4.50E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	0.59	+	1.7	4.50E-01
phagocytosis (GO:0006909)	21	1	0.59	+	1.7	4.50E-01
regulation of multicellular organismal process (GO:0051239)	191	9	5.36	+	1.68	1.17E-01
axonogenesis (GO:0007409)	129	6	3.62	+	1.66	1.80E-01
negative regulation of protein modification process (GO:0031400)	43	2	1.21	+	1.66	3.41E-01
chromosome segregation (GO:0007059)	86	4	2.41	+	1.66	3.07E-01
vacuolar transport (GO:0007034)	65	3	1.82	+	1.65	4.31E-01
exocytosis (GO:0006887)	87	4	2.44	+	1.64	3.11E-01
regulation of angiogenesis (GO:0045765)	22	1	0.62	+	1.62	4.65E-01
cell migration (GO:0016477)	176	8	4.93	+	1.62	1.62E-01
cytoplasmic microtubule organization (GO:0031122)	22	1	0.62	+	1.62	4.65E-01
regulation of vasculature development (GO:1901342)	22	1	0.62	+	1.62	4.65E-01
inflammatory response (GO:0006954)	22	1	0.62	+	1.62	4.65E-01
regulation of cysteine-type endopeptidase activity (GO:2000116)	22	1	0.62	+	1.62	4.65E-01
microtubule organizing center organization (GO:0031023)	22	1	0.62	+	1.62	4.65E-01
import into cell (GO:0098657)	199	9	5.58	+	1.61	1.31E-01
neuron projection morphogenesis (GO:0048812)	155	7	4.35	+	1.61	2.11E-01
regulation of protein modification process (GO:0031399)	155	7	4.35	+	1.61	2.11E-01
cell projection morphogenesis (GO:0048858)	156	7	4.37	+	1.6	2.13E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	156	7	4.37	+	1.6	2.13E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	134	6	3.76	+	1.6	2.81E-01
vacuole organization (GO:0007033)	67	3	1.88	+	1.6	4.38E-01
monoatomic anion transport (GO:0006820)	45	2	1.26	+	1.59	3.61E-01
inorganic ion transmembrane transport (GO:0098660)	249	11	6.98	+	1.58	1.20E-01
cellular anatomical entity morphogenesis (GO:0032989)	183	8	5.13	+	1.56	1.77E-01
nucleoside diphosphate catabolic process (GO:0009134)	23	1	0.64	+	1.55	4.80E-01
regulation of mRNA metabolic process (GO:1903311)	92	4	2.58	+	1.55	3.30E-01
microtubule bundle formation (GO:0001578)	23	1	0.64	+	1.55	4.80E-01
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)"	23	1	0.64	+	1.55	4.80E-01
endoplasmic reticulum organization (GO:0007029)	23	1	0.64	+	1.55	4.80E-01
positive regulation of cell population proliferation (GO:0008284)	70	3	1.96	+	1.53	4.49E-01
multicellular organism development (GO:0007275)	704	30	19.74	+	1.52	2.46E-02
protein localization to nucleus (GO:0034504)	47	2	1.32	+	1.52	3.81E-01
protein-containing complex disassembly (GO:0032984)	47	2	1.32	+	1.52	3.81E-01
autophagy (GO:0006914)	71	3	1.99	+	1.51	4.53E-01
process utilizing autophagic mechanism (GO:0061919)	71	3	1.99	+	1.51	4.53E-01
multicellular organismal process (GO:0032501)	886	37	24.84	+	1.49	1.47E-02
inorganic cation transmembrane transport (GO:0098662)	216	9	6.06	+	1.49	2.10E-01
regulation of innate immune response (GO:0045088)	24	1	0.67	+	1.49	4.95E-01
protein localization to plasma membrane (GO:0072659)	48	2	1.35	+	1.49	3.91E-01
positive regulation of hydrolase activity (GO:0051345)	72	3	2.02	+	1.49	4.57E-01
hexose metabolic process (GO:0019318)	24	1	0.67	+	1.49	4.95E-01
positive regulation of neurogenesis (GO:0050769)	24	1	0.67	+	1.49	4.95E-01
cellular response to lipid (GO:0071396)	24	1	0.67	+	1.49	4.95E-01
monoatomic cation transmembrane transport (GO:0098655)	217	9	6.08	+	1.48	2.11E-01
plasma membrane bounded cell projection organization (GO:0120036)	340	14	9.53	+	1.47	1.34E-01
axon development (GO:0061564)	146	6	4.09	+	1.47	3.08E-01
calcium ion transport (GO:0006816)	73	3	2.05	+	1.47	4.61E-01
organelle localization (GO:0051640)	123	5	3.45	+	1.45	3.99E-01
cell projection organization (GO:0030030)	346	14	9.7	+	1.44	1.82E-01
metal ion transport (GO:0030001)	248	10	6.95	+	1.44	2.39E-01
monoatomic ion transmembrane transport (GO:0034220)	273	11	7.65	+	1.44	1.95E-01
regulation of phosphorus metabolic process (GO:0051174)	200	8	5.61	+	1.43	2.77E-01
regulation of phosphate metabolic process (GO:0019220)	200	8	5.61	+	1.43	2.77E-01
proteoglycan biosynthetic process (GO:0030166)	25	1	0.7	+	1.43	5.09E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	25	1	0.7	+	1.43	5.09E-01
inorganic anion transport (GO:0015698)	50	2	1.4	+	1.43	6.52E-01
regulation of apoptotic signaling pathway (GO:2001233)	25	1	0.7	+	1.43	5.09E-01
cell motility (GO:0048870)	200	8	5.61	+	1.43	2.77E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	0.7	+	1.43	5.09E-01
spindle assembly (GO:0051225)	25	1	0.7	+	1.43	5.09E-01
membrane depolarization (GO:0051899)	25	1	0.7	+	1.43	5.09E-01
nuclear division (GO:0000280)	75	3	2.1	+	1.43	4.69E-01
positive regulation of gene expression (GO:0010628)	75	3	2.1	+	1.43	4.69E-01
peptidyl-serine phosphorylation (GO:0018105)	76	3	2.13	+	1.41	4.74E-01
protein polyubiquitination (GO:0000209)	76	3	2.13	+	1.41	4.74E-01
peptidyl-serine modification (GO:0018209)	76	3	2.13	+	1.41	4.74E-01
peptidyl-amino acid modification (GO:0018193)	203	8	5.69	+	1.41	2.84E-01
negative regulation of cell cycle process (GO:0010948)	51	2	1.43	+	1.4	6.55E-01
regulation of membrane potential (GO:0042391)	102	4	2.86	+	1.4	5.36E-01
chromatin remodeling (GO:0006338)	102	4	2.86	+	1.4	5.36E-01
protein modification by small protein conjugation (GO:0032446)	204	8	5.72	+	1.4	2.86E-01
protein-DNA complex organization (GO:0071824)	128	5	3.59	+	1.39	4.12E-01
Golgi vesicle transport (GO:0048193)	128	5	3.59	+	1.39	4.12E-01
regulation of catalytic activity (GO:0050790)	282	11	7.91	+	1.39	2.69E-01
sulfur compound metabolic process (GO:0006790)	77	3	2.16	+	1.39	4.78E-01
response to abiotic stimulus (GO:0009628)	77	3	2.16	+	1.39	4.78E-01
protein phosphorylation (GO:0006468)	206	8	5.78	+	1.39	2.91E-01
vesicle organization (GO:0016050)	103	4	2.89	+	1.39	5.38E-01
nucleoside diphosphate metabolic process (GO:0009132)	26	1	0.73	+	1.37	5.23E-01
positive regulation of GTPase activity (GO:0043547)	52	2	1.46	+	1.37	6.58E-01
heart development (GO:0007507)	52	2	1.46	+	1.37	6.58E-01
non-membrane-bounded organelle assembly (GO:0140694)	104	4	2.92	+	1.37	5.40E-01
vesicle budding from membrane (GO:0006900)	26	1	0.73	+	1.37	5.23E-01
synaptic vesicle exocytosis (GO:0016079)	26	1	0.73	+	1.37	5.23E-01
mitotic cell cycle checkpoint signaling (GO:0007093)	26	1	0.73	+	1.37	5.23E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	0.73	+	1.37	5.23E-01
regulation of molecular function (GO:0065009)	364	14	10.21	+	1.37	2.56E-01
post-translational protein modification (GO:0043687)	286	11	8.02	+	1.37	2.74E-01
secretion by cell (GO:0032940)	106	4	2.97	+	1.35	5.44E-01
regulation of mRNA stability (GO:0043488)	53	2	1.49	+	1.35	6.61E-01
monoatomic cation transport (GO:0006812)	265	10	7.43	+	1.35	3.42E-01
negative regulation of response to stimulus (GO:0048585)	186	7	5.22	+	1.34	3.70E-01
positive regulation of multicellular organismal process (GO:0051240)	80	3	2.24	+	1.34	4.92E-01
microtubule-based process (GO:0007017)	267	10	7.49	+	1.34	3.44E-01
proteolysis involved in protein catabolic process (GO:0051603)	269	10	7.54	+	1.33	3.47E-01
protein modification by small protein conjugation or removal (GO:0070647)	269	10	7.54	+	1.33	3.47E-01
phosphatidylinositol dephosphorylation (GO:0046856)	27	1	0.76	+	1.32	5.36E-01
negative regulation of organelle organization (GO:0010639)	54	2	1.51	+	1.32	6.64E-01
regulation of intracellular pH (GO:0051453)	27	1	0.76	+	1.32	5.36E-01
cellular component assembly involved in morphogenesis (GO:0010927)	27	1	0.76	+	1.32	5.36E-01
synaptic vesicle cycle (GO:0099504)	54	2	1.51	+	1.32	6.64E-01
regulation of RNA stability (GO:0043487)	54	2	1.51	+	1.32	6.64E-01
meiotic cell cycle (GO:0051321)	54	2	1.51	+	1.32	6.64E-01
striated muscle cell development (GO:0055002)	27	1	0.76	+	1.32	5.36E-01
myofibril assembly (GO:0030239)	27	1	0.76	+	1.32	5.36E-01
vesicle-mediated transport in synapse (GO:0099003)	54	2	1.51	+	1.32	6.64E-01
localization within membrane (GO:0051668)	162	6	4.54	+	1.32	4.66E-01
monoatomic ion transport (GO:0006811)	325	12	9.11	+	1.32	3.06E-01
intracellular signal transduction (GO:0035556)	354	13	9.93	+	1.31	3.24E-01
chromatin organization (GO:0006325)	109	4	3.06	+	1.31	5.51E-01
secretion (GO:0046903)	109	4	3.06	+	1.31	5.51E-01
intracellular signaling cassette (GO:0141124)	164	6	4.6	+	1.3	4.70E-01
phosphorylation (GO:0016310)	219	8	6.14	+	1.3	4.06E-01
canonical Wnt signaling pathway (GO:0060070)	55	2	1.54	+	1.3	6.68E-01
cell differentiation (GO:0030154)	633	23	17.75	+	1.3	2.15E-01
cellular developmental process (GO:0048869)	633	23	17.75	+	1.3	2.15E-01
anatomical structure development (GO:0048856)	937	34	26.27	+	1.29	1.22E-01
establishment of localization (GO:0051234)	1385	50	38.83	+	1.29	5.78E-02
transmembrane transport (GO:0055085)	445	16	12.48	+	1.28	3.04E-01
protein catabolic process (GO:0030163)	280	10	7.85	+	1.27	4.60E-01
Ras protein signal transduction (GO:0007265)	28	1	0.79	+	1.27	5.49E-01
translational initiation (GO:0006413)	28	1	0.79	+	1.27	5.49E-01
mRNA export from nucleus (GO:0006406)	28	1	0.79	+	1.27	5.49E-01
monosaccharide metabolic process (GO:0005996)	28	1	0.79	+	1.27	5.49E-01
protein localization to cell periphery (GO:1990778)	56	2	1.57	+	1.27	6.71E-01
hemopoiesis (GO:0030097)	28	1	0.79	+	1.27	5.49E-01
meiosis I (GO:0007127)	28	1	0.79	+	1.27	5.49E-01
regulation of mRNA catabolic process (GO:0061013)	56	2	1.57	+	1.27	6.71E-01
organic hydroxy compound transport (GO:0015850)	28	1	0.79	+	1.27	5.49E-01
regulation of biological quality (GO:0065008)	449	16	12.59	+	1.27	3.07E-01
G protein-coupled receptor signaling pathway (GO:0007186)	253	9	7.09	+	1.27	4.38E-01
intracellular monoatomic cation homeostasis (GO:0030003)	113	4	3.17	+	1.26	5.61E-01
intracellular monoatomic ion homeostasis (GO:0006873)	113	4	3.17	+	1.26	5.61E-01
regulation of anatomical structure morphogenesis (GO:0022603)	85	3	2.38	+	1.26	5.16E-01
localization (GO:0051179)	1535	54	43.04	+	1.25	8.27E-02
cytokine-mediated signaling pathway (GO:0019221)	57	2	1.6	+	1.25	6.75E-01
transcription by RNA polymerase II (GO:0006366)	57	2	1.6	+	1.25	6.75E-01
Wnt signaling pathway (GO:0016055)	57	2	1.6	+	1.25	6.75E-01
organonitrogen compound catabolic process (GO:1901565)	399	14	11.19	+	1.25	3.55E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	200	7	5.61	+	1.25	5.13E-01
organelle fission (GO:0048285)	86	3	2.41	+	1.24	5.21E-01
system process (GO:0003008)	116	4	3.25	+	1.23	5.69E-01
regulation of cellular pH (GO:0030641)	29	1	0.81	+	1.23	5.62E-01
cell activation (GO:0001775)	29	1	0.81	+	1.23	5.62E-01
regulation of pH (GO:0006885)	29	1	0.81	+	1.23	5.62E-01
transport (GO:0006810)	1315	45	36.87	+	1.22	1.58E-01
cell-cell signaling by wnt (GO:0198738)	59	2	1.65	+	1.21	6.82E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	89	3	2.5	+	1.2	7.40E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	208	7	5.83	+	1.2	5.27E-01
cellular homeostasis (GO:0019725)	149	5	4.18	+	1.2	6.14E-01
cellular component organization (GO:0016043)	1707	57	47.86	+	1.19	1.56E-01
developmental process (GO:0032502)	1049	35	29.41	+	1.19	2.82E-01
calcium ion transmembrane transport (GO:0070588)	60	2	1.68	+	1.19	6.86E-01
carbohydrate derivative catabolic process (GO:1901136)	60	2	1.68	+	1.19	6.86E-01
mRNA transport (GO:0051028)	30	1	0.84	+	1.19	5.74E-01
regulation of chromosome organization (GO:0033044)	30	1	0.84	+	1.19	5.74E-01
calcium-mediated signaling (GO:0019722)	30	1	0.84	+	1.19	5.74E-01
proteoglycan metabolic process (GO:0006029)	30	1	0.84	+	1.19	5.74E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	30	1	0.84	+	1.19	5.74E-01
protein polymerization (GO:0051258)	30	1	0.84	+	1.19	5.74E-01
actin polymerization or depolymerization (GO:0008154)	30	1	0.84	+	1.19	5.74E-01
neural crest cell migration (GO:0001755)	30	1	0.84	+	1.19	5.74E-01
meiosis I cell cycle process (GO:0061982)	30	1	0.84	+	1.19	5.74E-01
cellular localization (GO:0051641)	780	26	21.87	+	1.19	3.69E-01
macromolecule localization (GO:0033036)	578	19	16.21	+	1.17	4.39E-01
negative regulation of cell cycle (GO:0045786)	61	2	1.71	+	1.17	6.89E-01
regulation of signaling (GO:0023051)	549	18	15.39	+	1.17	5.07E-01
establishment of protein localization to organelle (GO:0072594)	122	4	3.42	+	1.17	5.87E-01
cellular response to cytokine stimulus (GO:0071345)	61	2	1.71	+	1.17	6.89E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	307	10	8.61	+	1.16	5.97E-01
modification-dependent protein catabolic process (GO:0019941)	215	7	6.03	+	1.16	6.73E-01
cell-cell signaling (GO:0007267)	247	8	6.93	+	1.16	6.94E-01
circulatory system development (GO:0072359)	93	3	2.61	+	1.15	7.47E-01
negative regulation of Wnt signaling pathway (GO:0030178)	31	1	0.87	+	1.15	5.86E-01
intracellular chemical homeostasis (GO:0055082)	124	4	3.48	+	1.15	7.80E-01
negative regulation of catalytic activity (GO:0043086)	62	2	1.74	+	1.15	6.93E-01
endocytic recycling (GO:0032456)	31	1	0.87	+	1.15	5.86E-01
apoptotic signaling pathway (GO:0097190)	31	1	0.87	+	1.15	5.86E-01
endocytosis (GO:0006897)	125	4	3.5	+	1.14	7.81E-01
modification-dependent macromolecule catabolic process (GO:0043632)	219	7	6.14	+	1.14	6.77E-01
synaptic signaling (GO:0099536)	157	5	4.4	+	1.14	6.30E-01
cellular component assembly (GO:0022607)	571	18	16.01	+	1.12	6.03E-01
cellular component organization or biogenesis (GO:0071840)	1812	57	50.81	+	1.12	3.56E-01
neural crest cell differentiation (GO:0014033)	32	1	0.9	+	1.11	5.98E-01
neural crest cell development (GO:0014032)	32	1	0.9	+	1.11	5.98E-01
phosphatidylinositol metabolic process (GO:0046488)	96	3	2.69	+	1.11	7.52E-01
anatomical structure morphogenesis (GO:0009653)	384	12	10.77	+	1.11	6.38E-01
cellular component disassembly (GO:0022411)	96	3	2.69	+	1.11	7.52E-01
stem cell development (GO:0048864)	32	1	0.9	+	1.11	5.98E-01
stem cell differentiation (GO:0048863)	32	1	0.9	+	1.11	5.98E-01
regulation of cell differentiation (GO:0045595)	96	3	2.69	+	1.11	7.52E-01
regulation of multicellular organismal development (GO:2000026)	96	3	2.69	+	1.11	7.52E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	289	9	8.1	+	1.11	7.17E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	322	10	9.03	+	1.11	7.31E-01
negative regulation of cellular component organization (GO:0051129)	65	2	1.82	+	1.1	7.05E-01
protein modification by small protein removal (GO:0070646)	65	2	1.82	+	1.1	7.05E-01
positive regulation of cellular biosynthetic process (GO:0031328)	327	10	9.17	+	1.09	7.33E-01
regulation of protein metabolic process (GO:0051246)	295	9	8.27	+	1.09	7.21E-01
cellular macromolecule localization (GO:0070727)	459	14	12.87	+	1.09	6.67E-01
protein localization (GO:0008104)	459	14	12.87	+	1.09	6.67E-01
positive regulation of biosynthetic process (GO:0009891)	328	10	9.2	+	1.09	7.34E-01
positive regulation of nervous system development (GO:0051962)	33	1	0.93	+	1.08	6.09E-01
regulation of defense response (GO:0031347)	33	1	0.93	+	1.08	6.09E-01
protein-DNA complex assembly (GO:0065004)	33	1	0.93	+	1.08	6.09E-01
regulation of cellular catabolic process (GO:0031329)	99	3	2.78	+	1.08	7.58E-01
positive regulation of molecular function (GO:0044093)	198	6	5.55	+	1.08	8.26E-01
monoatomic cation homeostasis (GO:0055080)	133	4	3.73	+	1.07	7.90E-01
regulation of protein phosphorylation (GO:0001932)	134	4	3.76	+	1.06	7.91E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	67	2	1.88	+	1.06	7.12E-01
establishment of localization in cell (GO:0051649)	542	16	15.2	+	1.05	7.90E-01
mesenchyme development (GO:0060485)	34	1	0.95	+	1.05	6.20E-01
neuropeptide signaling pathway (GO:0007218)	34	1	0.95	+	1.05	6.20E-01
negative regulation of transport (GO:0051051)	34	1	0.95	+	1.05	6.20E-01
regulation of transport (GO:0051049)	170	5	4.77	+	1.05	8.14E-01
angiogenesis (GO:0001525)	34	1	0.95	+	1.05	6.20E-01
monoatomic ion homeostasis (GO:0050801)	136	4	3.81	+	1.05	7.94E-01
positive regulation of programmed cell death (GO:0043068)	34	1	0.95	+	1.05	6.20E-01
muscle contraction (GO:0006936)	34	1	0.95	+	1.05	6.20E-01
nucleoside phosphate catabolic process (GO:1901292)	34	1	0.95	+	1.05	6.20E-01
mesenchymal cell differentiation (GO:0048762)	34	1	0.95	+	1.05	6.20E-01
regulation of cell communication (GO:0010646)	545	16	15.28	+	1.05	7.91E-01
negative regulation of biological process (GO:0048519)	789	23	22.12	+	1.04	8.24E-01
catabolic process (GO:0009056)	618	18	17.33	+	1.04	8.03E-01
homeostatic process (GO:0042592)	206	6	5.78	+	1.04	8.31E-01
protein modification process (GO:0036211)	790	23	22.15	+	1.04	8.24E-01
vesicle-mediated transport (GO:0016192)	481	14	13.49	+	1.04	8.88E-01
protein-containing complex organization (GO:0043933)	344	10	9.65	+	1.04	8.68E-01
signaling (GO:0023052)	1343	39	37.66	+	1.04	7.93E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	207	6	5.8	+	1.03	8.32E-01
glycoprotein metabolic process (GO:0009100)	138	4	3.87	+	1.03	7.96E-01
macromolecule catabolic process (GO:0009057)	345	10	9.67	+	1.03	8.68E-01
organelle assembly (GO:0070925)	277	8	7.77	+	1.03	8.54E-01
Unclassified (UNCLASSIFIED)	4470	129	125.34	+	1.03	6.94E-01
mitotic cell cycle (GO:0000278)	174	5	4.88	+	1.02	8.18E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	1	0.98	+	1.02	1.00E+00
positive regulation of mRNA metabolic process (GO:1903313)	35	1	0.98	+	1.02	1.00E+00
regulated exocytosis (GO:0045055)	35	1	0.98	+	1.02	1.00E+00
regulation of autophagy (GO:0010506)	35	1	0.98	+	1.02	1.00E+00
response to lipid (GO:0033993)	35	1	0.98	+	1.02	1.00E+00
muscle system process (GO:0003012)	35	1	0.98	+	1.02	1.00E+00
response to cytokine (GO:0034097)	70	2	1.96	+	1.02	7.24E-01
cellular catabolic process (GO:0044248)	315	9	8.83	+	1.02	8.63E-01
biological regulation (GO:0065007)	3962	113	111.09	+	1.02	8.17E-01
cell communication (GO:0007154)	1371	39	38.44	+	1.01	9.31E-01
negative regulation of cellular process (GO:0048523)	739	21	20.72	+	1.01	9.09E-01
regulation of cell population proliferation (GO:0042127)	106	3	2.97	+	1.01	1.00E+00
positive regulation of DNA-templated transcription (GO:0045893)	248	7	6.95	+	1.01	1.00E+00
positive regulation of RNA biosynthetic process (GO:1902680)	248	7	6.95	+	1.01	1.00E+00
regulation of cellular metabolic process (GO:0031323)	1780	50	49.91	+	1	1.00E+00
positive regulation of RNA metabolic process (GO:0051254)	285	8	7.99	+	1	1.00E+00
regulation of immune system process (GO:0002682)	107	3	3	-	1	1.00E+00
regulation of localization (GO:0032879)	214	6	6	-	1	1.00E+00
phospholipid dephosphorylation (GO:0046839)	36	1	1.01	-	0.99	1.00E+00
RNA export from nucleus (GO:0006405)	36	1	1.01	-	0.99	1.00E+00
meiotic nuclear division (GO:0140013)	36	1	1.01	-	0.99	1.00E+00
positive regulation of cell development (GO:0010720)	36	1	1.01	-	0.99	1.00E+00
regulation of biological process (GO:0050789)	3747	104	105.06	-	0.99	9.53E-01
regulation of cellular process (GO:0050794)	3536	98	99.15	-	0.99	9.52E-01
organic substance catabolic process (GO:1901575)	542	15	15.2	-	0.99	1.00E+00
regulation of macromolecule metabolic process (GO:0060255)	1772	49	49.69	-	0.99	1.00E+00
biological_process (GO:0008150)	8262	228	231.66	-	0.98	6.94E-01
supramolecular fiber organization (GO:0097435)	218	6	6.11	-	0.98	1.00E+00
establishment of protein localization (GO:0045184)	291	8	8.16	-	0.98	1.00E+00
positive regulation of macromolecule metabolic process (GO:0010604)	474	13	13.29	-	0.98	1.00E+00
regulation of anatomical structure size (GO:0090066)	73	2	2.05	-	0.98	1.00E+00
negative regulation of RNA metabolic process (GO:0051253)	183	5	5.13	-	0.97	1.00E+00
macromolecule modification (GO:0043412)	879	24	24.65	-	0.97	1.00E+00
positive regulation of cellular process (GO:0048522)	880	24	24.67	-	0.97	1.00E+00
signal transduction (GO:0007165)	1213	33	34.01	-	0.97	9.27E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1627	44	45.62	-	0.96	8.72E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	37	1	1.04	-	0.96	1.00E+00
response to external stimulus (GO:0009605)	148	4	4.15	-	0.96	1.00E+00
regulation of protein localization (GO:0032880)	37	1	1.04	-	0.96	1.00E+00
regulation of phosphorylation (GO:0042325)	185	5	5.19	-	0.96	1.00E+00
regulation of metabolic process (GO:0019222)	1892	51	53.05	-	0.96	8.21E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	186	5	5.22	-	0.96	1.00E+00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1340	36	37.57	-	0.96	8.61E-01
positive regulation of biological process (GO:0048518)	972	26	27.25	-	0.95	9.19E-01
intracellular transport (GO:0046907)	449	12	12.59	-	0.95	1.00E+00
regulation of primary metabolic process (GO:0080090)	1648	44	46.21	-	0.95	8.10E-01
cellular process (GO:0009987)	6038	161	169.3	-	0.95	3.90E-01
cellular component biogenesis (GO:0044085)	678	18	19.01	-	0.95	9.05E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	453	12	12.7	-	0.94	1.00E+00
epithelium development (GO:0060429)	38	1	1.07	-	0.94	1.00E+00
neurotransmitter secretion (GO:0007269)	38	1	1.07	-	0.94	1.00E+00
negative regulation of mitotic cell cycle (GO:0045930)	38	1	1.07	-	0.94	1.00E+00
carboxylic acid catabolic process (GO:0046395)	76	2	2.13	-	0.94	1.00E+00
blood vessel morphogenesis (GO:0048514)	38	1	1.07	-	0.94	1.00E+00
transition metal ion transport (GO:0000041)	38	1	1.07	-	0.94	1.00E+00
organic acid catabolic process (GO:0016054)	76	2	2.13	-	0.94	1.00E+00
regulation of neurogenesis (GO:0050767)	38	1	1.07	-	0.94	1.00E+00
signal release from synapse (GO:0099643)	38	1	1.07	-	0.94	1.00E+00
phosphate-containing compound metabolic process (GO:0006796)	570	15	15.98	-	0.94	8.97E-01
mitochondrion organization (GO:0007005)	114	3	3.2	-	0.94	1.00E+00
positive regulation of cellular metabolic process (GO:0031325)	496	13	13.91	-	0.93	1.00E+00
phosphorus metabolic process (GO:0006793)	573	15	16.07	-	0.93	8.97E-01
protein localization to organelle (GO:0033365)	192	5	5.38	-	0.93	1.00E+00
cellular nitrogen compound catabolic process (GO:0044270)	116	3	3.25	-	0.92	1.00E+00
heterocycle catabolic process (GO:0046700)	116	3	3.25	-	0.92	1.00E+00
blood vessel development (GO:0001568)	39	1	1.09	-	0.91	1.00E+00
taxis (GO:0042330)	39	1	1.09	-	0.91	1.00E+00
cytosolic transport (GO:0016482)	39	1	1.09	-	0.91	1.00E+00
cell cycle checkpoint signaling (GO:0000075)	39	1	1.09	-	0.91	1.00E+00
chemotaxis (GO:0006935)	39	1	1.09	-	0.91	1.00E+00
ERAD pathway (GO:0036503)	39	1	1.09	-	0.91	1.00E+00
locomotion (GO:0040011)	39	1	1.09	-	0.91	1.00E+00
positive regulation of metabolic process (GO:0009893)	547	14	15.34	-	0.91	8.94E-01
regulation of developmental process (GO:0050793)	196	5	5.5	-	0.91	1.00E+00
endomembrane system organization (GO:0010256)	118	3	3.31	-	0.91	1.00E+00
chromosome organization (GO:0051276)	118	3	3.31	-	0.91	1.00E+00
regulation of RNA metabolic process (GO:0051252)	1298	33	36.4	-	0.91	5.95E-01
cellular response to stimulus (GO:0051716)	1537	39	43.1	-	0.9	5.64E-01
glycoprotein biosynthetic process (GO:0009101)	119	3	3.34	-	0.9	1.00E+00
regulation of gene expression (GO:0010468)	1510	38	42.34	-	0.9	5.07E-01
