PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.dxy.50000kb.genenames_filtered.txt (197)	noca.dxy.50000kb.genenames_filtered.txt (expected)	noca.dxy.50000kb.genenames_filtered.txt (over/under)	noca.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of defense response (GO:0031347)	33	1	0.51	+	1.96	4.03E-01
cytokinesis (GO:0000910)	33	1	0.51	+	1.96	4.03E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	67	2	1.04	+	1.93	2.78E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	34	1	0.53	+	1.9	4.12E-01
regulation of transport (GO:0051049)	170	5	2.63	+	1.9	1.93E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	34	1	0.53	+	1.9	4.12E-01
angiogenesis (GO:0001525)	34	1	0.53	+	1.9	4.12E-01
cell-matrix adhesion (GO:0007160)	34	1	0.53	+	1.9	4.12E-01
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	34	1	0.53	+	1.9	4.12E-01
positive regulation of programmed cell death (GO:0043068)	34	1	0.53	+	1.9	4.12E-01
muscle contraction (GO:0006936)	34	1	0.53	+	1.9	4.12E-01
nucleoside phosphate catabolic process (GO:1901292)	34	1	0.53	+	1.9	4.12E-01
vesicle organization (GO:0016050)	103	3	1.59	+	1.88	2.14E-01
positive regulation of intracellular signal transduction (GO:1902533)	139	4	2.15	+	1.86	1.69E-01
striated muscle cell differentiation (GO:0051146)	35	1	0.54	+	1.85	4.21E-01
amino acid catabolic process (GO:0009063)	35	1	0.54	+	1.85	4.21E-01
regulation of autophagy (GO:0010506)	35	1	0.54	+	1.85	4.21E-01
muscle system process (GO:0003012)	35	1	0.54	+	1.85	4.21E-01
response to cytokine (GO:0034097)	70	2	1.08	+	1.85	2.95E-01
regulation of cell projection organization (GO:0031344)	70	2	1.08	+	1.85	2.95E-01
autophagy (GO:0006914)	71	2	1.1	+	1.82	3.01E-01
process utilizing autophagic mechanism (GO:0061919)	71	2	1.1	+	1.82	3.01E-01
phospholipid dephosphorylation (GO:0046839)	36	1	0.56	+	1.8	4.30E-01
activation of GTPase activity (GO:0090630)	36	1	0.56	+	1.8	4.30E-01
meiotic nuclear division (GO:0140013)	36	1	0.56	+	1.8	4.30E-01
establishment of vesicle localization (GO:0051650)	36	1	0.56	+	1.8	4.30E-01
negative regulation of catabolic process (GO:0009895)	36	1	0.56	+	1.8	4.30E-01
G protein-coupled receptor signaling pathway (GO:0007186)	253	7	3.91	+	1.79	1.17E-01
positive regulation of signal transduction (GO:0009967)	181	5	2.8	+	1.79	2.08E-01
cellular response to hormone stimulus (GO:0032870)	73	2	1.13	+	1.77	3.12E-01
vesicle localization (GO:0051648)	37	1	0.57	+	1.75	4.39E-01
response to extracellular stimulus (GO:0009991)	37	1	0.57	+	1.75	4.39E-01
response to nutrient levels (GO:0031667)	37	1	0.57	+	1.75	4.39E-01
purine-containing compound metabolic process (GO:0072521)	111	3	1.72	+	1.75	2.46E-01
cell surface receptor signaling pathway (GO:0007166)	483	13	7.47	+	1.74	5.58E-02
immune response-activating signaling pathway (GO:0002757)	38	1	0.59	+	1.7	4.48E-01
mitochondrial transmembrane transport (GO:1990542)	38	1	0.59	+	1.7	4.48E-01
blood vessel morphogenesis (GO:0048514)	38	1	0.59	+	1.7	4.48E-01
phosphate-containing compound metabolic process (GO:0006796)	570	15	8.82	+	1.7	5.26E-02
response to organic substance (GO:0010033)	267	7	4.13	+	1.69	2.00E-01
phosphorus metabolic process (GO:0006793)	573	15	8.87	+	1.69	5.32E-02
regulation of multicellular organismal process (GO:0051239)	191	5	2.96	+	1.69	2.24E-01
system process (GO:0003008)	116	3	1.79	+	1.67	2.67E-01
import into nucleus (GO:0051170)	39	1	0.6	+	1.66	4.56E-01
blood vessel development (GO:0001568)	39	1	0.6	+	1.66	4.56E-01
protein import into nucleus (GO:0006606)	39	1	0.6	+	1.66	4.56E-01
ERAD pathway (GO:0036503)	39	1	0.6	+	1.66	4.56E-01
cell communication (GO:0007154)	1371	35	21.21	+	1.65	3.45E-03
intracellular signal transduction (GO:0035556)	354	9	5.48	+	1.64	1.24E-01
signaling (GO:0023052)	1343	34	20.78	+	1.64	4.62E-03
positive regulation of molecular function (GO:0044093)	198	5	3.06	+	1.63	2.38E-01
immune system process (GO:0002376)	119	3	1.84	+	1.63	4.35E-01
regulation of MAPK cascade (GO:0043408)	119	3	1.84	+	1.63	4.35E-01
macromolecule modification (GO:0043412)	879	22	13.6	+	1.62	2.29E-02
immune response-regulating signaling pathway (GO:0002764)	40	1	0.62	+	1.62	4.65E-01
vasculature development (GO:0001944)	40	1	0.62	+	1.62	4.65E-01
positive regulation of kinase activity (GO:0033674)	80	2	1.24	+	1.62	3.52E-01
alpha-amino acid metabolic process (GO:1901605)	80	2	1.24	+	1.62	3.52E-01
multicellular organismal process (GO:0032501)	886	22	13.71	+	1.6	3.25E-02
signal transduction (GO:0007165)	1213	30	18.77	+	1.6	9.68E-03
positive regulation of transferase activity (GO:0051347)	81	2	1.25	+	1.6	3.58E-01
positive regulation of cell communication (GO:0010647)	203	5	3.14	+	1.59	2.48E-01
positive regulation of signaling (GO:0023056)	203	5	3.14	+	1.59	2.48E-01
cell division (GO:0051301)	41	1	0.63	+	1.58	4.73E-01
embryonic morphogenesis (GO:0048598)	41	1	0.63	+	1.58	4.73E-01
ceramide metabolic process (GO:0006672)	41	1	0.63	+	1.58	4.73E-01
cellular response to chemical stimulus (GO:0070887)	250	6	3.87	+	1.55	2.89E-01
positive regulation of response to stimulus (GO:0048584)	251	6	3.88	+	1.54	2.90E-01
negative regulation of cell communication (GO:0010648)	168	4	2.6	+	1.54	3.34E-01
negative regulation of signaling (GO:0023057)	168	4	2.6	+	1.54	3.34E-01
sensory perception (GO:0007600)	42	1	0.65	+	1.54	4.81E-01
positive regulation of phosphorylation (GO:0042327)	127	3	1.97	+	1.53	4.50E-01
Golgi vesicle transport (GO:0048193)	128	3	1.98	+	1.51	4.52E-01
regulation of localization (GO:0032879)	214	5	3.31	+	1.51	3.90E-01
sphingolipid biosynthetic process (GO:0030148)	43	1	0.67	+	1.5	4.89E-01
proteinogenic amino acid metabolic process (GO:0170039)	43	1	0.67	+	1.5	4.89E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	43	1	0.67	+	1.5	4.89E-01
inorganic cation transmembrane transport (GO:0098662)	216	5	3.34	+	1.5	3.92E-01
monoatomic cation transmembrane transport (GO:0098655)	217	5	3.36	+	1.49	3.93E-01
positive regulation of phosphorus metabolic process (GO:0010562)	131	3	2.03	+	1.48	4.59E-01
positive regulation of phosphate metabolic process (GO:0045937)	131	3	2.03	+	1.48	4.59E-01
protein modification process (GO:0036211)	790	18	12.22	+	1.47	9.91E-02
response to hormone (GO:0009725)	88	2	1.36	+	1.47	3.96E-01
intracellular protein transport (GO:0006886)	178	4	2.75	+	1.45	3.58E-01
anatomical structure development (GO:0048856)	937	21	14.5	+	1.45	9.65E-02
actin filament organization (GO:0007015)	134	3	2.07	+	1.45	4.66E-01
activation of immune response (GO:0002253)	45	1	0.7	+	1.44	5.05E-01
regulation of molecular function (GO:0065009)	364	8	5.63	+	1.42	2.79E-01
meiotic cell cycle process (GO:1903046)	46	1	0.71	+	1.4	5.13E-01
glycoprotein metabolic process (GO:0009100)	138	3	2.14	+	1.4	4.75E-01
regulation of neuron projection development (GO:0010975)	46	1	0.71	+	1.4	5.13E-01
protein glycosylation (GO:0006486)	92	2	1.42	+	1.4	6.55E-01
organophosphate catabolic process (GO:0046434)	46	1	0.71	+	1.4	5.13E-01
macromolecule glycosylation (GO:0043413)	92	2	1.42	+	1.4	6.55E-01
regulation of cellular response to growth factor stimulus (GO:0090287)	46	1	0.71	+	1.4	5.13E-01
regulation of secretion by cell (GO:1903530)	46	1	0.71	+	1.4	5.13E-01
circulatory system development (GO:0072359)	93	2	1.44	+	1.39	6.57E-01
small molecule catabolic process (GO:0044282)	93	2	1.44	+	1.39	6.57E-01
negative regulation of response to stimulus (GO:0048585)	186	4	2.88	+	1.39	5.39E-01
cellular response to stimulus (GO:0051716)	1537	33	23.78	+	1.39	4.71E-02
multicellular organism development (GO:0007275)	704	15	10.89	+	1.38	2.06E-01
protein localization to nucleus (GO:0034504)	47	1	0.73	+	1.38	5.20E-01
regulation of secretion (GO:0051046)	47	1	0.73	+	1.38	5.20E-01
developmental process (GO:0032502)	1049	22	16.23	+	1.36	1.49E-01
response to stimulus (GO:0050896)	1672	35	25.87	+	1.35	5.58E-02
cell-substrate adhesion (GO:0031589)	48	1	0.74	+	1.35	5.28E-01
autophagosome assembly (GO:0000045)	48	1	0.74	+	1.35	5.28E-01
protein transport (GO:0015031)	240	5	3.71	+	1.35	4.25E-01
vesicle-mediated transport (GO:0016192)	481	10	7.44	+	1.34	3.42E-01
purine nucleotide biosynthetic process (GO:0006164)	49	1	0.76	+	1.32	5.35E-01
potassium ion transmembrane transport (GO:0071805)	98	2	1.52	+	1.32	6.65E-01
potassium ion transport (GO:0006813)	98	2	1.52	+	1.32	6.65E-01
cell-cell signaling (GO:0007267)	247	5	3.82	+	1.31	4.37E-01
regulation of cellular catabolic process (GO:0031329)	99	2	1.53	+	1.31	6.67E-01
metal ion transport (GO:0030001)	248	5	3.84	+	1.3	4.39E-01
response to chemical (GO:0042221)	348	7	5.38	+	1.3	5.03E-01
inorganic ion transmembrane transport (GO:0098660)	249	5	3.85	+	1.3	4.41E-01
regulation of phosphorus metabolic process (GO:0051174)	200	4	3.09	+	1.29	5.55E-01
regulation of phosphate metabolic process (GO:0019220)	200	4	3.09	+	1.29	5.55E-01
purine nucleotide metabolic process (GO:0006163)	100	2	1.55	+	1.29	6.69E-01
regulation of microtubule-based process (GO:0032886)	50	1	0.77	+	1.29	5.42E-01
regulation of response to external stimulus (GO:0032101)	50	1	0.77	+	1.29	5.42E-01
regulation of membrane potential (GO:0042391)	102	2	1.58	+	1.27	6.73E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	153	3	2.37	+	1.27	5.14E-01
positive regulation of GTPase activity (GO:0043547)	52	1	0.8	+	1.24	5.56E-01
L-amino acid metabolic process (GO:0170033)	52	1	0.8	+	1.24	5.56E-01
heart development (GO:0007507)	52	1	0.8	+	1.24	5.56E-01
establishment or maintenance of cell polarity (GO:0007163)	52	1	0.8	+	1.24	5.56E-01
cellular localization (GO:0051641)	780	15	12.07	+	1.24	3.68E-01
glycosylation (GO:0070085)	105	2	1.62	+	1.23	6.79E-01
regulation of mRNA stability (GO:0043488)	53	1	0.82	+	1.22	5.63E-01
monoatomic cation transport (GO:0006812)	265	5	4.1	+	1.22	6.10E-01
nitrogen compound transport (GO:0071705)	376	7	5.82	+	1.2	5.26E-01
regulation of RNA stability (GO:0043487)	54	1	0.84	+	1.2	5.70E-01
meiotic cell cycle (GO:0051321)	54	1	0.84	+	1.2	5.70E-01
negative regulation of signal transduction (GO:0009968)	162	3	2.51	+	1.2	7.41E-01
axon guidance (GO:0007411)	108	2	1.67	+	1.2	6.85E-01
neuron projection guidance (GO:0097485)	108	2	1.67	+	1.2	6.85E-01
establishment of localization in cell (GO:0051649)	542	10	8.39	+	1.19	5.91E-01
monoatomic ion transmembrane transport (GO:0034220)	273	5	4.22	+	1.18	6.17E-01
intracellular signaling cassette (GO:0141124)	164	3	2.54	+	1.18	7.43E-01
anatomical structure morphogenesis (GO:0009653)	384	7	5.94	+	1.18	6.71E-01
canonical Wnt signaling pathway (GO:0060070)	55	1	0.85	+	1.18	5.77E-01
actomyosin structure organization (GO:0031032)	55	1	0.85	+	1.18	5.77E-01
positive regulation of immune response (GO:0050778)	55	1	0.85	+	1.18	5.77E-01
amino acid metabolic process (GO:0006520)	110	2	1.7	+	1.18	6.89E-01
intracellular calcium ion homeostasis (GO:0006874)	55	1	0.85	+	1.18	5.77E-01
positive regulation of catalytic activity (GO:0043085)	167	3	2.58	+	1.16	7.46E-01
regulation of mRNA catabolic process (GO:0061013)	56	1	0.87	+	1.15	5.83E-01
intracellular transport (GO:0046907)	449	8	6.95	+	1.15	6.94E-01
regulation of biological quality (GO:0065008)	449	8	6.95	+	1.15	6.94E-01
regulation of catalytic activity (GO:0050790)	282	5	4.36	+	1.15	6.27E-01
protein-containing complex localization (GO:0031503)	57	1	0.88	+	1.13	5.90E-01
Wnt signaling pathway (GO:0016055)	57	1	0.88	+	1.13	5.90E-01
cellular macromolecule localization (GO:0070727)	459	8	7.1	+	1.13	6.98E-01
protein localization (GO:0008104)	459	8	7.1	+	1.13	6.98E-01
system development (GO:0048731)	575	10	8.9	+	1.12	6.06E-01
actin cytoskeleton organization (GO:0030036)	231	4	3.57	+	1.12	7.84E-01
nucleotide metabolic process (GO:0009117)	116	2	1.79	+	1.11	7.01E-01
cellular nitrogen compound catabolic process (GO:0044270)	116	2	1.79	+	1.11	7.01E-01
heterocycle catabolic process (GO:0046700)	116	2	1.79	+	1.11	7.01E-01
sphingolipid metabolic process (GO:0006665)	58	1	0.9	+	1.11	5.96E-01
cellular process (GO:0009987)	6038	104	93.42	+	1.11	1.32E-01
establishment of protein localization (GO:0045184)	291	5	4.5	+	1.11	8.07E-01
biological regulation (GO:0065007)	3962	68	61.3	+	1.11	3.13E-01
regulation of biological process (GO:0050789)	3747	64	57.98	+	1.1	3.45E-01
cell migration (GO:0016477)	176	3	2.72	+	1.1	7.55E-01
endomembrane system organization (GO:0010256)	118	2	1.83	+	1.1	7.05E-01
protein metabolic process (GO:0019538)	1362	23	21.07	+	1.09	6.42E-01
chemical homeostasis (GO:0048878)	178	3	2.75	+	1.09	7.57E-01
glycoprotein biosynthetic process (GO:0009101)	119	2	1.84	+	1.09	7.07E-01
actin filament-based process (GO:0030029)	239	4	3.7	+	1.08	7.89E-01
transport (GO:0006810)	1315	22	20.35	+	1.08	6.38E-01
calcium ion transmembrane transport (GO:0070588)	60	1	0.93	+	1.08	6.09E-01
carbohydrate derivative catabolic process (GO:1901136)	60	1	0.93	+	1.08	6.09E-01
regulation of vesicle-mediated transport (GO:0060627)	60	1	0.93	+	1.08	6.09E-01
immune response (GO:0006955)	60	1	0.93	+	1.08	6.09E-01
cell junction assembly (GO:0034329)	60	1	0.93	+	1.08	6.09E-01
aromatic compound catabolic process (GO:0019439)	121	2	1.87	+	1.07	7.12E-01
positive regulation of biological process (GO:0048518)	972	16	15.04	+	1.06	7.86E-01
nervous system development (GO:0007399)	426	7	6.59	+	1.06	8.40E-01
regulation of cellular process (GO:0050794)	3536	58	54.71	+	1.06	6.31E-01
nucleotide biosynthetic process (GO:0009165)	61	1	0.94	+	1.06	6.15E-01
cellular anatomical entity morphogenesis (GO:0032989)	183	3	2.83	+	1.06	7.62E-01
establishment of protein localization to organelle (GO:0072594)	122	2	1.89	+	1.06	7.14E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	61	1	0.94	+	1.06	6.15E-01
cell fate commitment (GO:0045165)	61	1	0.94	+	1.06	6.15E-01
organonitrogen compound metabolic process (GO:1901564)	1712	28	26.49	+	1.06	7.52E-01
regulation of cellular component organization (GO:0051128)	306	5	4.73	+	1.06	8.13E-01
localization (GO:0051179)	1535	25	23.75	+	1.05	7.41E-01
regulation of phosphorylation (GO:0042325)	185	3	2.86	+	1.05	7.64E-01
nucleoside phosphate metabolic process (GO:0006753)	124	2	1.92	+	1.04	7.18E-01
intracellular chemical homeostasis (GO:0055082)	124	2	1.92	+	1.04	7.18E-01
glycerophospholipid metabolic process (GO:0006650)	124	2	1.92	+	1.04	7.18E-01
negative regulation of catalytic activity (GO:0043086)	62	1	0.96	+	1.04	6.21E-01
regulation of response to stimulus (GO:0048583)	559	9	8.65	+	1.04	8.60E-01
organic substance transport (GO:0071702)	497	8	7.69	+	1.04	8.52E-01
regulation of hydrolase activity (GO:0051336)	125	2	1.93	+	1.03	7.20E-01
endocytosis (GO:0006897)	125	2	1.93	+	1.03	7.20E-01
positive regulation of cellular process (GO:0048522)	880	14	13.62	+	1.03	8.87E-01
establishment of localization (GO:0051234)	1385	22	21.43	+	1.03	9.08E-01
membrane lipid biosynthetic process (GO:0046467)	63	1	0.97	+	1.03	6.26E-01
ncRNA processing (GO:0034470)	189	3	2.92	+	1.03	7.69E-01
calcium ion homeostasis (GO:0055074)	63	1	0.97	+	1.03	6.26E-01
nucleobase-containing compound transport (GO:0015931)	63	1	0.97	+	1.03	6.26E-01
nucleoside phosphate biosynthetic process (GO:1901293)	63	1	0.97	+	1.03	6.26E-01
cell development (GO:0048468)	316	5	4.89	+	1.02	8.18E-01
cell differentiation (GO:0030154)	633	10	9.79	+	1.02	8.69E-01
cellular developmental process (GO:0048869)	633	10	9.79	+	1.02	8.69E-01
organic cyclic compound catabolic process (GO:1901361)	127	2	1.97	+	1.02	7.24E-01
transmembrane transport (GO:0055085)	445	7	6.89	+	1.02	8.46E-01
response to endoplasmic reticulum stress (GO:0034976)	64	1	0.99	+	1.01	1.00E+00
macromolecule localization (GO:0033036)	578	9	8.94	+	1.01	1.00E+00
regulation of intracellular signal transduction (GO:1902531)	257	4	3.98	+	1.01	1.00E+00
positive regulation of macromolecule biosynthetic process (GO:0010557)	322	5	4.98	+	1	1.00E+00
axonogenesis (GO:0007409)	129	2	2	+	1	1.00E+00
biological_process (GO:0008150)	8262	128	127.84	+	1	1.00E+00
Unclassified (UNCLASSIFIED)	4470	69	69.16	-	1	1.00E+00
negative regulation of cellular component organization (GO:0051129)	65	1	1.01	-	0.99	1.00E+00
protein modification by small protein removal (GO:0070646)	65	1	1.01	-	0.99	1.00E+00
carbohydrate derivative metabolic process (GO:1901135)	325	5	5.03	-	0.99	1.00E+00
monoatomic ion transport (GO:0006811)	325	5	5.03	-	0.99	1.00E+00
positive regulation of cellular biosynthetic process (GO:0031328)	327	5	5.06	-	0.99	1.00E+00
positive regulation of biosynthetic process (GO:0009891)	328	5	5.08	-	0.99	1.00E+00
synapse organization (GO:0050808)	66	1	1.02	-	0.98	1.00E+00
import into cell (GO:0098657)	199	3	3.08	-	0.97	1.00E+00
cell motility (GO:0048870)	200	3	3.09	-	0.97	1.00E+00
regulation of transcription by RNA polymerase II (GO:0006357)	1002	15	15.5	-	0.97	1.00E+00
cell morphogenesis involved in neuron differentiation (GO:0048667)	134	2	2.07	-	0.96	1.00E+00
organic anion transport (GO:0015711)	134	2	2.07	-	0.96	1.00E+00
regulation of signal transduction (GO:0009966)	469	7	7.26	-	0.96	1.00E+00
vacuole organization (GO:0007033)	67	1	1.04	-	0.96	1.00E+00
lipid modification (GO:0030258)	67	1	1.04	-	0.96	1.00E+00
regulation of kinase activity (GO:0043549)	135	2	2.09	-	0.96	1.00E+00
small GTPase-mediated signal transduction (GO:0007264)	68	1	1.05	-	0.95	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	68	1	1.05	-	0.95	1.00E+00
regulation of cell communication (GO:0010646)	545	8	8.43	-	0.95	1.00E+00
regulation of signaling (GO:0023051)	549	8	8.49	-	0.94	1.00E+00
homeostatic process (GO:0042592)	206	3	3.19	-	0.94	1.00E+00
regulation of transferase activity (GO:0051338)	138	2	2.14	-	0.94	1.00E+00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	69	1	1.07	-	0.94	1.00E+00
regulation of catabolic process (GO:0009894)	139	2	2.15	-	0.93	1.00E+00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	1	1.08	-	0.92	1.00E+00
import across plasma membrane (GO:0098739)	70	1	1.08	-	0.92	1.00E+00
positive regulation of cell population proliferation (GO:0008284)	70	1	1.08	-	0.92	1.00E+00
glycerolipid metabolic process (GO:0046486)	141	2	2.18	-	0.92	1.00E+00
positive regulation of cellular metabolic process (GO:0031325)	496	7	7.67	-	0.91	1.00E+00
post-translational protein modification (GO:0043687)	286	4	4.43	-	0.9	1.00E+00
carbohydrate derivative biosynthetic process (GO:1901137)	216	3	3.34	-	0.9	1.00E+00
carboxylic acid metabolic process (GO:0019752)	216	3	3.34	-	0.9	1.00E+00
chemical synaptic transmission (GO:0007268)	144	2	2.23	-	0.9	1.00E+00
positive regulation of hydrolase activity (GO:0051345)	72	1	1.11	-	0.9	1.00E+00
regulation of response to stress (GO:0080134)	72	1	1.11	-	0.9	1.00E+00
anterograde trans-synaptic signaling (GO:0098916)	144	2	2.23	-	0.9	1.00E+00
tissue development (GO:0009888)	145	2	2.24	-	0.89	1.00E+00
supramolecular fiber organization (GO:0097435)	218	3	3.37	-	0.89	1.00E+00
organic acid metabolic process (GO:0006082)	218	3	3.37	-	0.89	1.00E+00
oxoacid metabolic process (GO:0043436)	218	3	3.37	-	0.89	1.00E+00
purine ribonucleotide metabolic process (GO:0009150)	73	1	1.13	-	0.89	1.00E+00
axon development (GO:0061564)	146	2	2.26	-	0.89	1.00E+00
glycerophospholipid biosynthetic process (GO:0046474)	73	1	1.13	-	0.89	1.00E+00
calcium ion transport (GO:0006816)	73	1	1.13	-	0.89	1.00E+00
organophosphate metabolic process (GO:0019637)	293	4	4.53	-	0.88	1.00E+00
trans-synaptic signaling (GO:0099537)	147	2	2.27	-	0.88	1.00E+00
regulation of GTPase activity (GO:0043087)	74	1	1.14	-	0.87	1.00E+00
cellular component organization (GO:0016043)	1707	23	26.41	-	0.87	5.28E-01
cellular homeostasis (GO:0019725)	149	2	2.31	-	0.87	1.00E+00
cytoskeleton organization (GO:0007010)	447	6	6.92	-	0.87	1.00E+00
nuclear division (GO:0000280)	75	1	1.16	-	0.86	1.00E+00
protein polyubiquitination (GO:0000209)	76	1	1.18	-	0.85	1.00E+00
positive regulation of protein phosphorylation (GO:0001934)	76	1	1.18	-	0.85	1.00E+00
carboxylic acid catabolic process (GO:0046395)	76	1	1.18	-	0.85	1.00E+00
organic acid catabolic process (GO:0016054)	76	1	1.18	-	0.85	1.00E+00
primary metabolic process (GO:0044238)	2661	35	41.17	-	0.85	3.31E-01
nitrogen compound metabolic process (GO:0006807)	2441	32	37.77	-	0.85	3.17E-01
regulation of biosynthetic process (GO:0009889)	1543	20	23.87	-	0.84	4.42E-01
regulation of cellular metabolic process (GO:0031323)	1780	23	27.54	-	0.84	4.07E-01
phospholipid metabolic process (GO:0006644)	155	2	2.4	-	0.83	1.00E+00
neuron projection morphogenesis (GO:0048812)	155	2	2.4	-	0.83	1.00E+00
regulation of protein modification process (GO:0031399)	155	2	2.4	-	0.83	1.00E+00
cellular metabolic process (GO:0044237)	2255	29	34.89	-	0.83	3.01E-01
cell projection morphogenesis (GO:0048858)	156	2	2.41	-	0.83	1.00E+00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	156	2	2.41	-	0.83	1.00E+00
positive regulation of metabolic process (GO:0009893)	547	7	8.46	-	0.83	7.25E-01
regulation of DNA-templated transcription (GO:0006355)	1176	15	18.2	-	0.82	5.34E-01
regulation of RNA biosynthetic process (GO:2001141)	1176	15	18.2	-	0.82	5.34E-01
synaptic signaling (GO:0099536)	157	2	2.43	-	0.82	1.00E+00
cellular lipid metabolic process (GO:0044255)	314	4	4.86	-	0.82	1.00E+00
cellular catabolic process (GO:0044248)	315	4	4.87	-	0.82	1.00E+00
cellular component organization or biogenesis (GO:0071840)	1812	23	28.04	-	0.82	3.55E-01
regulation of metabolic process (GO:0019222)	1892	24	29.27	-	0.82	3.14E-01
macromolecule metabolic process (GO:0043170)	2129	27	32.94	-	0.82	2.90E-01
metabolic process (GO:0008152)	2921	37	45.2	-	0.82	1.72E-01
ncRNA metabolic process (GO:0034660)	238	3	3.68	-	0.81	1.00E+00
regulation of gene expression (GO:0010468)	1510	19	23.36	-	0.81	3.75E-01
organic substance metabolic process (GO:0071704)	2796	35	43.26	-	0.81	1.65E-01
membrane lipid metabolic process (GO:0006643)	80	1	1.24	-	0.81	1.00E+00
ribonucleotide metabolic process (GO:0009259)	80	1	1.24	-	0.81	1.00E+00
organophosphate biosynthetic process (GO:0090407)	160	2	2.48	-	0.81	1.00E+00
regulation of macromolecule biosynthetic process (GO:0010556)	1530	19	23.67	-	0.8	3.76E-01
regulation of cellular biosynthetic process (GO:0031326)	1538	19	23.8	-	0.8	3.23E-01
central nervous system development (GO:0007417)	81	1	1.25	-	0.8	1.00E+00
positive regulation of protein modification process (GO:0031401)	81	1	1.25	-	0.8	1.00E+00
regulation of RNA metabolic process (GO:0051252)	1298	16	20.08	-	0.8	4.05E-01
sexual reproduction (GO:0019953)	82	1	1.27	-	0.79	1.00E+00
cell cycle process (GO:0022402)	247	3	3.82	-	0.78	1.00E+00
glycerolipid biosynthetic process (GO:0045017)	83	1	1.28	-	0.78	1.00E+00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1340	16	20.73	-	0.77	3.48E-01
regulation of trans-synaptic signaling (GO:0099177)	84	1	1.3	-	0.77	1.00E+00
modulation of chemical synaptic transmission (GO:0050804)	84	1	1.3	-	0.77	1.00E+00
lipid transport (GO:0006869)	84	1	1.3	-	0.77	1.00E+00
nuclear transport (GO:0051169)	85	1	1.32	-	0.76	1.00E+00
phospholipid biosynthetic process (GO:0008654)	85	1	1.32	-	0.76	1.00E+00
nucleocytoplasmic transport (GO:0006913)	85	1	1.32	-	0.76	1.00E+00
carbohydrate metabolic process (GO:0005975)	86	1	1.33	-	0.75	1.00E+00
organelle fission (GO:0048285)	86	1	1.33	-	0.75	1.00E+00
ribose phosphate metabolic process (GO:0019693)	86	1	1.33	-	0.75	1.00E+00
chromosome segregation (GO:0007059)	86	1	1.33	-	0.75	1.00E+00
regulation of primary metabolic process (GO:0080090)	1648	19	25.5	-	0.75	1.98E-01
organelle organization (GO:0006996)	1042	12	16.12	-	0.74	3.58E-01
lipid localization (GO:0010876)	87	1	1.35	-	0.74	1.00E+00
protein ubiquitination (GO:0016567)	175	2	2.71	-	0.74	1.00E+00
reproductive process (GO:0022414)	88	1	1.36	-	0.73	1.00E+00
reproduction (GO:0000003)	88	1	1.36	-	0.73	1.00E+00
regulation of macromolecule metabolic process (GO:0060255)	1772	20	27.42	-	0.73	1.46E-01
lipid metabolic process (GO:0006629)	355	4	5.49	-	0.73	6.65E-01
negative regulation of molecular function (GO:0044092)	89	1	1.38	-	0.73	1.00E+00
protein modification by small protein conjugation or removal (GO:0070647)	269	3	4.16	-	0.72	8.02E-01
microtubule cytoskeleton organization (GO:0000226)	180	2	2.79	-	0.72	1.00E+00
lipid biosynthetic process (GO:0008610)	180	2	2.79	-	0.72	1.00E+00
cell cycle (GO:0007049)	271	3	4.19	-	0.72	8.02E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1627	18	25.17	-	0.72	1.32E-01
establishment of organelle localization (GO:0051656)	91	1	1.41	-	0.71	1.00E+00
animal organ morphogenesis (GO:0009887)	91	1	1.41	-	0.71	1.00E+00
protein maturation (GO:0051604)	183	2	2.83	-	0.71	1.00E+00
nucleobase-containing compound biosynthetic process (GO:0034654)	183	2	2.83	-	0.71	1.00E+00
regulation of mRNA metabolic process (GO:1903311)	92	1	1.42	-	0.7	1.00E+00
neuron differentiation (GO:0030182)	280	3	4.33	-	0.69	8.04E-01
cell morphogenesis (GO:0000902)	187	2	2.89	-	0.69	1.00E+00
positive regulation of macromolecule metabolic process (GO:0010604)	474	5	7.33	-	0.68	5.66E-01
cellular component assembly (GO:0022607)	571	6	8.83	-	0.68	4.84E-01
phosphatidylinositol metabolic process (GO:0046488)	96	1	1.49	-	0.67	1.00E+00
protein localization to organelle (GO:0033365)	192	2	2.97	-	0.67	7.72E-01
dephosphorylation (GO:0016311)	96	1	1.49	-	0.67	1.00E+00
generation of neurons (GO:0048699)	292	3	4.52	-	0.66	6.33E-01
regulation of cell migration (GO:0030334)	98	1	1.52	-	0.66	1.00E+00
