PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
nitrogen compound transport (GO:0071705)	376	9	5.52	+	1.63	1.27E-01
positive regulation of response to stimulus (GO:0048584)	251	6	3.69	+	1.63	1.88E-01
amide metabolic process (GO:0043603)	251	6	3.69	+	1.63	1.88E-01
sister chromatid segregation (GO:0000819)	42	1	0.62	+	1.62	4.63E-01
mitotic nuclear division (GO:0140014)	42	1	0.62	+	1.62	4.63E-01
sensory perception (GO:0007600)	42	1	0.62	+	1.62	4.63E-01
nuclear transport (GO:0051169)	85	2	1.25	+	1.6	3.56E-01
phospholipid biosynthetic process (GO:0008654)	85	2	1.25	+	1.6	3.56E-01
nucleocytoplasmic transport (GO:0006913)	85	2	1.25	+	1.6	3.56E-01
regulation of anatomical structure morphogenesis (GO:0022603)	85	2	1.25	+	1.6	3.56E-01
anatomical structure development (GO:0048856)	937	22	13.76	+	1.6	3.25E-02
sphingolipid biosynthetic process (GO:0030148)	43	1	0.63	+	1.58	4.71E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	43	1	0.63	+	1.58	4.71E-01
neuron development (GO:0048666)	215	5	3.16	+	1.58	2.50E-01
tube development (GO:0035295)	43	1	0.63	+	1.58	4.71E-01
signaling (GO:0023052)	1343	31	19.73	+	1.57	1.11E-02
response to chemical (GO:0042221)	348	8	5.11	+	1.57	1.75E-01
exocytosis (GO:0006887)	87	2	1.28	+	1.57	3.66E-01
phosphorylation (GO:0016310)	219	5	3.22	+	1.55	2.58E-01
cell surface receptor signaling pathway (GO:0007166)	483	11	7.09	+	1.55	1.24E-01
response to hormone (GO:0009725)	88	2	1.29	+	1.55	3.72E-01
cell migration (GO:0016477)	176	4	2.58	+	1.55	3.32E-01
monoatomic cation transport (GO:0006812)	265	6	3.89	+	1.54	2.91E-01
multicellular organismal process (GO:0032501)	886	20	13.01	+	1.54	5.76E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	89	2	1.31	+	1.53	3.77E-01
regulation of biological quality (GO:0065008)	449	10	6.59	+	1.52	1.62E-01
response to external biotic stimulus (GO:0043207)	45	1	0.66	+	1.51	4.87E-01
response to other organism (GO:0051707)	45	1	0.66	+	1.51	4.87E-01
establishment of organelle localization (GO:0051656)	91	2	1.34	+	1.5	3.87E-01
developmental process (GO:0032502)	1049	23	15.41	+	1.49	5.87E-02
meiotic cell cycle process (GO:1903046)	46	1	0.68	+	1.48	4.94E-01
regulation of neuron projection development (GO:0010975)	46	1	0.68	+	1.48	4.94E-01
response to biotic stimulus (GO:0009607)	46	1	0.68	+	1.48	4.94E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	46	1	0.68	+	1.48	4.94E-01
positive regulation of intracellular signal transduction (GO:1902533)	139	3	2.04	+	1.47	4.61E-01
protein localization to nucleus (GO:0034504)	47	1	0.69	+	1.45	5.02E-01
cell-substrate adhesion (GO:0031589)	48	1	0.7	+	1.42	5.09E-01
protein localization to organelle (GO:0033365)	192	4	2.82	+	1.42	3.69E-01
spindle organization (GO:0007051)	48	1	0.7	+	1.42	5.09E-01
regulation of multicellular organismal development (GO:2000026)	96	2	1.41	+	1.42	6.53E-01
response to endogenous stimulus (GO:0009719)	194	4	2.85	+	1.4	3.74E-01
plasma membrane bounded cell projection organization (GO:0120036)	340	7	4.99	+	1.4	3.54E-01
generation of neurons (GO:0048699)	292	6	4.29	+	1.4	3.28E-01
cell differentiation (GO:0030154)	633	13	9.3	+	1.4	2.31E-01
cellular developmental process (GO:0048869)	633	13	9.3	+	1.4	2.31E-01
transport (GO:0006810)	1315	27	19.31	+	1.4	6.89E-02
regionalization (GO:0003002)	49	1	0.72	+	1.39	5.16E-01
cell projection organization (GO:0030030)	346	7	5.08	+	1.38	3.60E-01
inorganic ion homeostasis (GO:0098771)	100	2	1.47	+	1.36	6.60E-01
cell motility (GO:0048870)	200	4	2.94	+	1.36	5.43E-01
multicellular organism development (GO:0007275)	704	14	10.34	+	1.35	2.56E-01
intracellular signal transduction (GO:0035556)	354	7	5.2	+	1.35	3.69E-01
positive regulation of cell communication (GO:0010647)	203	4	2.98	+	1.34	5.46E-01
positive regulation of signaling (GO:0023056)	203	4	2.98	+	1.34	5.46E-01
cellular macromolecule localization (GO:0070727)	459	9	6.74	+	1.34	3.24E-01
protein localization (GO:0008104)	459	9	6.74	+	1.34	3.24E-01
positive regulation of biological process (GO:0048518)	972	19	14.28	+	1.33	2.09E-01
establishment of localization (GO:0051234)	1385	27	20.34	+	1.33	1.23E-01
cellular response to organonitrogen compound (GO:0071417)	52	1	0.76	+	1.31	5.37E-01
system development (GO:0048731)	575	11	8.45	+	1.3	3.71E-01
localization (GO:0051179)	1535	29	22.55	+	1.29	1.42E-01
transport along microtubule (GO:0010970)	53	1	0.78	+	1.28	5.44E-01
secretion by cell (GO:0032940)	106	2	1.56	+	1.28	6.70E-01
"mRNA splicing, via spliceosome (GO:0000398)"	106	2	1.56	+	1.28	6.70E-01
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	106	2	1.56	+	1.28	6.70E-01
"RNA splicing, via transesterification reactions (GO:0000375)"	106	2	1.56	+	1.28	6.70E-01
neurogenesis (GO:0022008)	320	6	4.7	+	1.28	4.77E-01
response to organic substance (GO:0010033)	267	5	3.92	+	1.28	6.00E-01
vesicle-mediated transport (GO:0016192)	481	9	7.06	+	1.27	4.36E-01
meiotic cell cycle (GO:0051321)	54	1	0.79	+	1.26	5.51E-01
positive regulation of cell migration (GO:0030335)	54	1	0.79	+	1.26	5.51E-01
establishment of localization in cell (GO:0051649)	542	10	7.96	+	1.26	4.62E-01
secretion (GO:0046903)	109	2	1.6	+	1.25	6.76E-01
positive regulation of cellular process (GO:0048522)	880	16	12.92	+	1.24	3.81E-01
actomyosin structure organization (GO:0031032)	55	1	0.81	+	1.24	5.58E-01
signal transduction (GO:0007165)	1213	22	17.82	+	1.23	3.14E-01
response to stimulus (GO:0050896)	1672	30	24.56	+	1.22	2.31E-01
neuron differentiation (GO:0030182)	280	5	4.11	+	1.22	6.10E-01
intracellular transport (GO:0046907)	449	8	6.59	+	1.21	5.46E-01
cytokine-mediated signaling pathway (GO:0019221)	57	1	0.84	+	1.19	5.71E-01
tRNA processing (GO:0008033)	57	1	0.84	+	1.19	5.71E-01
protein processing (GO:0016485)	57	1	0.84	+	1.19	5.71E-01
positive regulation of cell motility (GO:2000147)	57	1	0.84	+	1.19	5.71E-01
positive regulation of locomotion (GO:0040017)	57	1	0.84	+	1.19	5.71E-01
macromolecule localization (GO:0033036)	578	10	8.49	+	1.18	5.93E-01
sphingolipid metabolic process (GO:0006665)	58	1	0.85	+	1.17	5.77E-01
protein ubiquitination (GO:0016567)	175	3	2.57	+	1.17	7.45E-01
cilium assembly (GO:0060271)	117	2	1.72	+	1.16	6.91E-01
RNA splicing (GO:0008380)	119	2	1.75	+	1.14	6.95E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	60	1	0.88	+	1.13	5.89E-01
regulation of vesicle-mediated transport (GO:0060627)	60	1	0.88	+	1.13	5.89E-01
pattern specification process (GO:0007389)	60	1	0.88	+	1.13	5.89E-01
amino acid transport (GO:0006865)	60	1	0.88	+	1.13	5.89E-01
microtubule cytoskeleton organization (GO:0000226)	180	3	2.64	+	1.13	7.49E-01
lipid biosynthetic process (GO:0008610)	180	3	2.64	+	1.13	7.49E-01
positive regulation of signal transduction (GO:0009967)	181	3	2.66	+	1.13	7.50E-01
export from cell (GO:0140352)	121	2	1.78	+	1.13	6.99E-01
biological regulation (GO:0065007)	3962	65	58.19	+	1.12	3.01E-01
cellular response to cytokine stimulus (GO:0071345)	61	1	0.9	+	1.12	5.95E-01
cellular response to stimulus (GO:0051716)	1537	25	22.57	+	1.11	5.72E-01
macroautophagy (GO:0016236)	62	1	0.91	+	1.1	6.01E-01
regulation of RNA splicing (GO:0043484)	62	1	0.91	+	1.1	6.01E-01
positive regulation of DNA-templated transcription (GO:0045893)	248	4	3.64	+	1.1	7.86E-01
establishment of protein localization to membrane (GO:0090150)	62	1	0.91	+	1.1	6.01E-01
positive regulation of RNA biosynthetic process (GO:1902680)	248	4	3.64	+	1.1	7.86E-01
regulation of response to stimulus (GO:0048583)	559	9	8.21	+	1.1	7.18E-01
regulation of biological process (GO:0050789)	3747	60	55.03	+	1.09	4.20E-01
cellular lipid metabolic process (GO:0044255)	314	5	4.61	+	1.08	8.10E-01
Unclassified (UNCLASSIFIED)	4470	71	65.65	+	1.08	4.40E-01
membrane lipid biosynthetic process (GO:0046467)	63	1	0.93	+	1.08	6.07E-01
plasma membrane bounded cell projection assembly (GO:0120031)	126	2	1.85	+	1.08	7.09E-01
G protein-coupled receptor signaling pathway (GO:0007186)	253	4	3.72	+	1.08	7.89E-01
phosphate-containing compound metabolic process (GO:0006796)	570	9	8.37	+	1.08	7.23E-01
positive regulation of phosphorylation (GO:0042327)	127	2	1.87	+	1.07	7.11E-01
phosphorus metabolic process (GO:0006793)	573	9	8.42	+	1.07	7.24E-01
regulation of multicellular organismal process (GO:0051239)	191	3	2.81	+	1.07	7.60E-01
mRNA processing (GO:0006397)	128	2	1.88	+	1.06	7.13E-01
response to endoplasmic reticulum stress (GO:0034976)	64	1	0.94	+	1.06	6.13E-01
regulation of intracellular signal transduction (GO:1902531)	257	4	3.77	+	1.06	7.92E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	322	5	4.73	+	1.06	8.13E-01
negative regulation of cellular component organization (GO:0051129)	65	1	0.95	+	1.05	6.19E-01
cellular localization (GO:0051641)	780	12	11.46	+	1.05	8.77E-01
positive regulation of cellular biosynthetic process (GO:0031328)	327	5	4.8	+	1.04	8.15E-01
positive regulation of phosphorus metabolic process (GO:0010562)	131	2	1.92	+	1.04	7.19E-01
positive regulation of phosphate metabolic process (GO:0045937)	131	2	1.92	+	1.04	7.19E-01
positive regulation of biosynthetic process (GO:0009891)	328	5	4.82	+	1.04	8.16E-01
positive regulation of molecular function (GO:0044093)	198	3	2.91	+	1.03	7.68E-01
translation (GO:0006412)	132	2	1.94	+	1.03	7.21E-01
cilium organization (GO:0044782)	133	2	1.95	+	1.02	7.23E-01
microtubule-based process (GO:0007017)	267	4	3.92	+	1.02	7.99E-01
actin filament organization (GO:0007015)	134	2	1.97	+	1.02	7.25E-01
lipid modification (GO:0030258)	67	1	0.98	+	1.02	1.00E+00
peptide biosynthetic process (GO:0043043)	135	2	1.98	+	1.01	1.00E+00
peptidyl-amino acid modification (GO:0018193)	203	3	2.98	+	1.01	1.00E+00
regulation of cellular process (GO:0050794)	3536	52	51.93	+	1	1.00E+00
small GTPase-mediated signal transduction (GO:0007264)	68	1	1	+	1	1.00E+00
protein modification by small protein conjugation (GO:0032446)	204	3	3	+	1	1.00E+00
regulation of cell communication (GO:0010646)	545	8	8	-	1	1.00E+00
response to stress (GO:0006950)	479	7	7.04	-	0.99	1.00E+00
cell projection assembly (GO:0030031)	137	2	2.01	-	0.99	1.00E+00
regulation of signaling (GO:0023051)	549	8	8.06	-	0.99	1.00E+00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	69	1	1.01	-	0.99	1.00E+00
positive regulation of transcription by RNA polymerase II (GO:0045944)	207	3	3.04	-	0.99	1.00E+00
mitotic cell cycle process (GO:1903047)	140	2	2.06	-	0.97	1.00E+00
import across plasma membrane (GO:0098739)	70	1	1.03	-	0.97	1.00E+00
positive regulation of cell population proliferation (GO:0008284)	70	1	1.03	-	0.97	1.00E+00
response to cytokine (GO:0034097)	70	1	1.03	-	0.97	1.00E+00
regulation of cell projection organization (GO:0031344)	70	1	1.03	-	0.97	1.00E+00
cellular process (GO:0009987)	6038	86	88.68	-	0.97	7.13E-01
positive regulation of MAPK cascade (GO:0043410)	71	1	1.04	-	0.96	1.00E+00
autophagy (GO:0006914)	71	1	1.04	-	0.96	1.00E+00
process utilizing autophagic mechanism (GO:0061919)	71	1	1.04	-	0.96	1.00E+00
lipid metabolic process (GO:0006629)	355	5	5.21	-	0.96	1.00E+00
biological_process (GO:0008150)	8262	116	121.35	-	0.96	4.40E-01
positive regulation of RNA metabolic process (GO:0051254)	285	4	4.19	-	0.96	1.00E+00
tissue development (GO:0009888)	145	2	2.13	-	0.94	1.00E+00
regulation of molecular function (GO:0065009)	364	5	5.35	-	0.94	1.00E+00
organophosphate metabolic process (GO:0019637)	293	4	4.3	-	0.93	1.00E+00
embryo development (GO:0009790)	74	1	1.09	-	0.92	1.00E+00
cellular component organization (GO:0016043)	1707	23	25.07	-	0.92	7.46E-01
nuclear division (GO:0000280)	75	1	1.1	-	0.91	1.00E+00
positive regulation of gene expression (GO:0010628)	75	1	1.1	-	0.91	1.00E+00
cellular component organization or biogenesis (GO:0071840)	1812	24	26.61	-	0.9	6.73E-01
positive regulation of protein phosphorylation (GO:0001934)	76	1	1.12	-	0.9	1.00E+00
animal organ development (GO:0048513)	304	4	4.46	-	0.9	1.00E+00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	307	4	4.51	-	0.89	1.00E+00
regulation of transcription by RNA polymerase II (GO:0006357)	1002	13	14.72	-	0.88	7.84E-01
cellular response to nitrogen compound (GO:1901699)	78	1	1.15	-	0.87	1.00E+00
regulation of signal transduction (GO:0009966)	469	6	6.89	-	0.87	1.00E+00
regulation of DNA-templated transcription (GO:0006355)	1176	15	17.27	-	0.87	7.02E-01
regulation of RNA biosynthetic process (GO:2001141)	1176	15	17.27	-	0.87	7.02E-01
RNA modification (GO:0009451)	79	1	1.16	-	0.86	1.00E+00
regulation of gene expression (GO:0010468)	1510	19	22.18	-	0.86	5.68E-01
positive regulation of kinase activity (GO:0033674)	80	1	1.17	-	0.85	1.00E+00
membrane lipid metabolic process (GO:0006643)	80	1	1.17	-	0.85	1.00E+00
organophosphate biosynthetic process (GO:0090407)	160	2	2.35	-	0.85	1.00E+00
regulation of macromolecule biosynthetic process (GO:0010556)	1530	19	22.47	-	0.85	4.97E-01
regulation of cellular biosynthetic process (GO:0031326)	1538	19	22.59	-	0.84	4.97E-01
positive regulation of transferase activity (GO:0051347)	81	1	1.19	-	0.84	1.00E+00
positive regulation of protein modification process (GO:0031401)	81	1	1.19	-	0.84	1.00E+00
regulation of RNA metabolic process (GO:0051252)	1298	16	19.06	-	0.84	5.43E-01
regulation of biosynthetic process (GO:0009889)	1543	19	22.66	-	0.84	4.98E-01
proteolysis (GO:0006508)	407	5	5.98	-	0.84	8.36E-01
intracellular signaling cassette (GO:0141124)	164	2	2.41	-	0.83	1.00E+00
sexual reproduction (GO:0019953)	82	1	1.2	-	0.83	1.00E+00
cell cycle process (GO:0022402)	247	3	3.63	-	0.83	1.00E+00
positive regulation of cellular metabolic process (GO:0031325)	496	6	7.28	-	0.82	8.48E-01
cellular response to chemical stimulus (GO:0070887)	250	3	3.67	-	0.82	1.00E+00
amide biosynthetic process (GO:0043604)	167	2	2.45	-	0.82	1.00E+00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1340	16	19.68	-	0.81	4.70E-01
lipid transport (GO:0006869)	84	1	1.23	-	0.81	1.00E+00
regulation of cellular metabolic process (GO:0031323)	1780	21	26.14	-	0.8	3.38E-01
response to growth factor (GO:0070848)	85	1	1.25	-	0.8	1.00E+00
cellular response to growth factor stimulus (GO:0071363)	85	1	1.25	-	0.8	1.00E+00
organelle fission (GO:0048285)	86	1	1.26	-	0.79	1.00E+00
mitotic cell cycle (GO:0000278)	174	2	2.56	-	0.78	1.00E+00
lipid localization (GO:0010876)	87	1	1.28	-	0.78	1.00E+00
reproductive process (GO:0022414)	88	1	1.29	-	0.77	1.00E+00
reproduction (GO:0000003)	88	1	1.29	-	0.77	1.00E+00
cytoskeleton organization (GO:0007010)	447	5	6.57	-	0.76	6.89E-01
cellular response to endogenous stimulus (GO:0071495)	179	2	2.63	-	0.76	1.00E+00
protein modification by small protein conjugation or removal (GO:0070647)	269	3	3.95	-	0.76	1.00E+00
regulation of metabolic process (GO:0019222)	1892	21	27.79	-	0.76	1.78E-01
cell cycle (GO:0007049)	271	3	3.98	-	0.75	8.01E-01
cellular response to organic substance (GO:0071310)	181	2	2.66	-	0.75	1.00E+00
positive regulation of nitrogen compound metabolic process (GO:0051173)	453	5	6.65	-	0.75	6.90E-01
protein metabolic process (GO:0019538)	1362	15	20	-	0.75	2.83E-01
positive regulation of metabolic process (GO:0009893)	547	6	8.03	-	0.75	5.86E-01
cellular response to stress (GO:0033554)	365	4	5.36	-	0.75	8.23E-01
protein maturation (GO:0051604)	183	2	2.69	-	0.74	1.00E+00
regulation of mRNA metabolic process (GO:1903311)	92	1	1.35	-	0.74	1.00E+00
organelle assembly (GO:0070925)	277	3	4.07	-	0.74	8.01E-01
regulation of phosphorylation (GO:0042325)	185	2	2.72	-	0.74	1.00E+00
mRNA metabolic process (GO:0016071)	185	2	2.72	-	0.74	1.00E+00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	186	2	2.73	-	0.73	1.00E+00
tRNA metabolic process (GO:0006399)	93	1	1.37	-	0.73	1.00E+00
regulation of macromolecule metabolic process (GO:0060255)	1772	19	26.03	-	0.73	1.65E-01
positive regulation of macromolecule metabolic process (GO:0010604)	474	5	6.96	-	0.72	5.61E-01
cellular component assembly (GO:0022607)	571	6	8.39	-	0.72	4.79E-01
post-translational protein modification (GO:0043687)	286	3	4.2	-	0.71	8.02E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1627	17	23.9	-	0.71	1.51E-01
dephosphorylation (GO:0016311)	96	1	1.41	-	0.71	1.00E+00
cellular component biogenesis (GO:0044085)	678	7	9.96	-	0.7	4.12E-01
regulation of primary metabolic process (GO:0080090)	1648	17	24.2	-	0.7	1.24E-01
cellular response to oxygen-containing compound (GO:1901701)	97	1	1.42	-	0.7	1.00E+00
macromolecule modification (GO:0043412)	879	9	12.91	-	0.7	3.09E-01
potassium ion transmembrane transport (GO:0071805)	98	1	1.44	-	0.69	1.00E+00
potassium ion transport (GO:0006813)	98	1	1.44	-	0.69	1.00E+00
protein modification process (GO:0036211)	790	8	11.6	-	0.69	3.58E-01
protein-containing complex assembly (GO:0065003)	198	2	2.91	-	0.69	1.00E+00
regulation of cellular catabolic process (GO:0031329)	99	1	1.45	-	0.69	1.00E+00
regulation of phosphorus metabolic process (GO:0051174)	200	2	2.94	-	0.68	1.00E+00
regulation of phosphate metabolic process (GO:0019220)	200	2	2.94	-	0.68	1.00E+00
organonitrogen compound metabolic process (GO:1901564)	1712	17	25.14	-	0.68	8.38E-02
regulation of cellular component organization (GO:0051128)	306	3	4.49	-	0.67	6.33E-01
carboxylic acid transport (GO:0046942)	102	1	1.5	-	0.67	1.00E+00
organic acid transport (GO:0015849)	102	1	1.5	-	0.67	1.00E+00
non-membrane-bounded organelle assembly (GO:0140694)	104	1	1.53	-	0.65	1.00E+00
cellular catabolic process (GO:0044248)	315	3	4.63	-	0.65	6.34E-01
regulation of cell population proliferation (GO:0042127)	106	1	1.56	-	0.64	1.00E+00
supramolecular fiber organization (GO:0097435)	218	2	3.2	-	0.62	7.74E-01
RNA processing (GO:0006396)	338	3	4.96	-	0.6	4.94E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	227	2	3.33	-	0.6	7.77E-01
actin cytoskeleton organization (GO:0030036)	231	2	3.39	-	0.59	7.78E-01
organelle organization (GO:0006996)	1042	9	15.3	-	0.59	1.05E-01
chromosome organization (GO:0051276)	118	1	1.73	-	0.58	1.00E+00
regulation of MAPK cascade (GO:0043408)	119	1	1.75	-	0.57	1.00E+00
actin filament-based process (GO:0030029)	239	2	3.51	-	0.57	5.89E-01
cellular metabolic process (GO:0044237)	2255	18	33.12	-	0.54	2.63E-03
primary metabolic process (GO:0044238)	2661	21	39.08	-	0.54	7.36E-04
metabolic process (GO:0008152)	2921	23	42.9	-	0.54	2.97E-04
organic substance metabolic process (GO:0071704)	2796	22	41.07	-	0.54	4.72E-04
ribosome biogenesis (GO:0042254)	132	1	1.94	-	0.52	1.00E+00
organonitrogen compound catabolic process (GO:1901565)	399	3	5.86	-	0.51	2.92E-01
macromolecule metabolic process (GO:0043170)	2129	16	31.27	-	0.51	1.52E-03
regulation of protein phosphorylation (GO:0001932)	134	1	1.97	-	0.51	1.00E+00
regulation of kinase activity (GO:0043549)	135	1	1.98	-	0.5	7.26E-01
nitrogen compound metabolic process (GO:0006807)	2441	18	35.85	-	0.5	4.86E-04
regulation of transferase activity (GO:0051338)	138	1	2.03	-	0.49	7.26E-01
regulation of catabolic process (GO:0009894)	139	1	2.04	-	0.49	7.26E-01
proteasomal protein catabolic process (GO:0010498)	148	1	2.17	-	0.46	7.28E-01
positive regulation of protein metabolic process (GO:0051247)	148	1	2.17	-	0.46	7.28E-01
gene expression (GO:0010467)	764	5	11.22	-	0.45	6.04E-02
catabolic process (GO:0009056)	618	4	9.08	-	0.44	8.61E-02
regulation of protein modification process (GO:0031399)	155	1	2.28	-	0.44	7.31E-01
cellular biosynthetic process (GO:0044249)	1249	8	18.34	-	0.44	8.67E-03
organic substance biosynthetic process (GO:1901576)	1280	8	18.8	-	0.43	6.50E-03
biosynthetic process (GO:0009058)	1283	8	18.84	-	0.42	6.55E-03
organonitrogen compound biosynthetic process (GO:1901566)	492	3	7.23	-	0.42	1.25E-01
positive regulation of catalytic activity (GO:0043085)	167	1	2.45	-	0.41	5.24E-01
RNA metabolic process (GO:0016070)	514	3	7.55	-	0.4	9.25E-02
protein-containing complex organization (GO:0043933)	344	2	5.05	-	0.4	2.50E-01
organic substance catabolic process (GO:1901575)	542	3	7.96	-	0.38	6.83E-02
ribonucleoprotein complex biogenesis (GO:0022613)	181	1	2.66	-	0.38	5.27E-01
ncRNA processing (GO:0034470)	189	1	2.78	-	0.36	5.33E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	384	2	5.64	-	0.35	1.33E-01
macromolecule biosynthetic process (GO:0009059)	964	5	14.16	-	0.35	7.50E-03
ncRNA metabolic process (GO:0034660)	238	1	3.5	-	0.29	2.70E-01
negative regulation of cellular process (GO:0048523)	739	3	10.85	-	0.28	1.04E-02
nucleic acid metabolic process (GO:0090304)	764	3	11.22	-	0.27	7.39E-03
negative regulation of biological process (GO:0048519)	789	3	11.59	-	0.26	5.22E-03
proteolysis involved in protein catabolic process (GO:0051603)	269	1	3.95	-	0.25	1.93E-01
protein catabolic process (GO:0030163)	280	1	4.11	-	0.24	1.99E-01
regulation of catalytic activity (GO:0050790)	282	1	4.14	-	0.24	1.34E-01
regulation of protein metabolic process (GO:0051246)	295	1	4.33	-	0.23	1.36E-01
nucleobase-containing compound metabolic process (GO:0006139)	917	3	13.47	-	0.22	8.95E-04
heterocycle metabolic process (GO:0046483)	965	3	14.17	-	0.21	4.36E-04
cellular aromatic compound metabolic process (GO:0006725)	973	3	14.29	-	0.21	4.36E-04
organic cyclic compound metabolic process (GO:1901360)	1013	3	14.88	-	0.2	3.10E-04
macromolecule catabolic process (GO:0009057)	345	1	5.07	-	0.2	6.68E-02
cellular nitrogen compound metabolic process (GO:0034641)	1098	3	16.13	-	0.19	1.03E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	0.03	-	 < 0.01	1.00E+00
ribonucleoside triphosphate metabolic process (GO:0009199)	25	0	0.37	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	4	0	0.06	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of supramolecular fiber organization (GO:1902904)	34	0	0.5	-	 < 0.01	1.00E+00
regulation of supramolecular fiber organization (GO:1902903)	77	0	1.13	-	 < 0.01	6.32E-01
centriole assembly (GO:0098534)	9	0	0.13	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	15	0	0.22	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	15	0	0.22	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	0.07	-	 < 0.01	1.00E+00
protein localization to mitochondrion (GO:0070585)	21	0	0.31	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	0	0.32	-	 < 0.01	1.00E+00
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	0	0.25	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.34	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.26	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.29	-	 < 0.01	1.00E+00
regulation of actin filament polymerization (GO:0030833)	45	0	0.66	-	 < 0.01	1.00E+00
regulation of actin filament length (GO:0030832)	48	0	0.7	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.03	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	0	0.26	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of nitrogen compound metabolic process (GO:0051172)	289	0	4.24	-	 < 0.01	2.36E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.28	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.13	-	 < 0.01	1.00E+00
lymphocyte mediated immunity (GO:0002449)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of Rho protein signal transduction (GO:0035023)	26	0	0.38	-	 < 0.01	1.00E+00
leukocyte mediated immunity (GO:0002443)	2	0	0.03	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.07	-	 < 0.01	1.00E+00
oligodendrocyte differentiation (GO:0048709)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of monoatomic ion transport (GO:0043271)	20	0	0.29	-	 < 0.01	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	7	0	0.1	-	 < 0.01	1.00E+00
vesicle-mediated transport to the plasma membrane (GO:0098876)	57	0	0.84	-	 < 0.01	1.00E+00
endothelial cell differentiation (GO:0045446)	4	0	0.06	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.04	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.03	-	 < 0.01	1.00E+00
programmed cell death (GO:0012501)	62	0	0.91	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.22	-	 < 0.01	1.00E+00
mitochondrial fission (GO:0000266)	9	0	0.13	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of potassium ion transport (GO:0043266)	17	0	0.25	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	12	0	0.18	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.09	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.12	-	 < 0.01	1.00E+00
