PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
positive regulation of cellular metabolic process (GO:0031325)	478	1	2.31	-	0.43	7.30E-01
organonitrogen compound biosynthetic process (GO:1901566)	484	1	2.34	-	0.43	7.31E-01
organic substance transport (GO:0071702)	486	1	2.35	-	0.43	7.32E-01
positive regulation of metabolic process (GO:0009893)	529	1	2.55	-	0.39	5.21E-01
regulation of cell communication (GO:0010646)	541	1	2.61	-	0.38	5.22E-01
regulation of response to stimulus (GO:0048583)	555	1	2.68	-	0.37	5.24E-01
organonitrogen compound metabolic process (GO:1901564)	1685	3	8.13	-	0.37	5.67E-02
catabolic process (GO:0009056)	610	1	2.94	-	0.34	3.70E-01
negative regulation of cellular process (GO:0048523)	724	1	3.49	-	0.29	2.63E-01
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	0.01	-	 < 0.01	1.00E+00
ribonucleoside triphosphate metabolic process (GO:0009199)	25	0	0.12	-	 < 0.01	1.00E+00
mononuclear cell migration (GO:0071674)	3	0	0.01	-	 < 0.01	1.00E+00
intermediate filament organization (GO:0045109)	10	0	0.05	-	 < 0.01	1.00E+00
tissue morphogenesis (GO:0048729)	23	0	0.11	-	 < 0.01	1.00E+00
cellular response to organic substance (GO:0071310)	179	0	0.86	-	 < 0.01	1.00E+00
negative regulation of supramolecular fiber organization (GO:1902904)	34	0	0.16	-	 < 0.01	1.00E+00
regulation of supramolecular fiber organization (GO:1902903)	76	0	0.37	-	 < 0.01	1.00E+00
intermediate filament cytoskeleton organization (GO:0045104)	14	0	0.07	-	 < 0.01	1.00E+00
intermediate filament-based process (GO:0045103)	14	0	0.07	-	 < 0.01	1.00E+00
vitamin transport (GO:0051180)	12	0	0.06	-	 < 0.01	1.00E+00
calcium ion transmembrane transport (GO:0070588)	60	0	0.29	-	 < 0.01	1.00E+00
TOR signaling (GO:0031929)	10	0	0.05	-	 < 0.01	1.00E+00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	0	0.02	-	 < 0.01	1.00E+00
protein localization to mitochondrion (GO:0070585)	20	0	0.1	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	0	0.11	-	 < 0.01	1.00E+00
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	0	0.08	-	 < 0.01	1.00E+00
mitotic cytokinesis (GO:0000281)	14	0	0.07	-	 < 0.01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	23	0	0.11	-	 < 0.01	1.00E+00
sperm-egg recognition (GO:0035036)	1	0	0	-	 < 0.01	1.00E+00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	0.09	-	 < 0.01	1.00E+00
regulation of actin filament depolymerization (GO:0030834)	20	0	0.1	-	 < 0.01	1.00E+00
regulation of actin filament polymerization (GO:0030833)	45	0	0.22	-	 < 0.01	1.00E+00
regulation of actin filament length (GO:0030832)	48	0	0.23	-	 < 0.01	1.00E+00
meiotic sister chromatid cohesion (GO:0051177)	2	0	0.01	-	 < 0.01	1.00E+00
cyclic nucleotide metabolic process (GO:0009187)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	0	0.09	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	0.07	-	 < 0.01	1.00E+00
regulation of phosphorus metabolic process (GO:0051174)	198	0	0.96	-	 < 0.01	1.00E+00
import into nucleus (GO:0051170)	39	0	0.19	-	 < 0.01	1.00E+00
supramolecular fiber organization (GO:0097435)	214	0	1.03	-	 < 0.01	6.28E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.09	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.04	-	 < 0.01	1.00E+00
lymphocyte mediated immunity (GO:0002449)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of Rho protein signal transduction (GO:0035023)	26	0	0.13	-	 < 0.01	1.00E+00
leukocyte mediated immunity (GO:0002443)	2	0	0.01	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.02	-	 < 0.01	1.00E+00
nuclear transport (GO:0051169)	83	0	0.4	-	 < 0.01	1.00E+00
nuclear export (GO:0051168)	52	0	0.25	-	 < 0.01	1.00E+00
oligodendrocyte differentiation (GO:0048709)	4	0	0.02	-	 < 0.01	1.00E+00
negative regulation of monoatomic ion transport (GO:0043271)	19	0	0.09	-	 < 0.01	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	7	0	0.03	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.01	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.01	-	 < 0.01	1.00E+00
axo-dendritic transport (GO:0008088)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.07	-	 < 0.01	1.00E+00
mitochondrial fission (GO:0000266)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of monoatomic ion transport (GO:0043269)	69	0	0.33	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of potassium ion transport (GO:0043266)	16	0	0.08	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	10	0	0.05	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.03	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.04	-	 < 0.01	1.00E+00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	0	0.07	-	 < 0.01	1.00E+00
nucleotide catabolic process (GO:0009166)	27	0	0.13	-	 < 0.01	1.00E+00
regulation of cell projection assembly (GO:0060491)	24	0	0.12	-	 < 0.01	1.00E+00
nucleotide biosynthetic process (GO:0009165)	60	0	0.29	-	 < 0.01	1.00E+00
nucleoside catabolic process (GO:0009164)	8	0	0.04	-	 < 0.01	1.00E+00
ribonucleoside monophosphate metabolic process (GO:0009161)	16	0	0.08	-	 < 0.01	1.00E+00
negative regulation of protein catabolic process (GO:0042177)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of protein catabolic process (GO:0042176)	45	0	0.22	-	 < 0.01	1.00E+00
response to interleukin-1 (GO:0070555)	2	0	0.01	-	 < 0.01	1.00E+00
cellular response to fibroblast growth factor stimulus (GO:0044344)	25	0	0.12	-	 < 0.01	1.00E+00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	31	0	0.15	-	 < 0.01	1.00E+00
cytokine-mediated signaling pathway (GO:0019221)	57	0	0.28	-	 < 0.01	1.00E+00
actin filament bundle organization (GO:0061572)	21	0	0.1	-	 < 0.01	1.00E+00
regulation of phosphate metabolic process (GO:0019220)	198	0	0.96	-	 < 0.01	1.00E+00
hormone secretion (GO:0046879)	3	0	0.01	-	 < 0.01	1.00E+00
mesenchyme development (GO:0060485)	32	0	0.15	-	 < 0.01	1.00E+00
ceramide biosynthetic process (GO:0046513)	25	0	0.12	-	 < 0.01	1.00E+00
regulation of protein-containing complex assembly (GO:0043254)	57	0	0.28	-	 < 0.01	1.00E+00
heterocycle biosynthetic process (GO:0018130)	202	0	0.97	-	 < 0.01	1.00E+00
striated muscle cell differentiation (GO:0051146)	34	0	0.16	-	 < 0.01	1.00E+00
purine ribonucleotide catabolic process (GO:0009154)	19	0	0.09	-	 < 0.01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	32	0	0.15	-	 < 0.01	1.00E+00
heme metabolic process (GO:0042168)	10	0	0.05	-	 < 0.01	1.00E+00
positive regulation of cell cycle (GO:0045787)	26	0	0.13	-	 < 0.01	1.00E+00
purine ribonucleotide metabolic process (GO:0009150)	72	0	0.35	-	 < 0.01	1.00E+00
negative regulation of cell cycle (GO:0045786)	60	0	0.29	-	 < 0.01	1.00E+00
positive regulation of cell adhesion (GO:0045785)	24	0	0.12	-	 < 0.01	1.00E+00
response to fatty acid (GO:0070542)	1	0	0	-	 < 0.01	1.00E+00
spliceosomal complex assembly (GO:0000245)	18	0	0.09	-	 < 0.01	1.00E+00
regulation of actin polymerization or depolymerization (GO:0008064)	46	0	0.22	-	 < 0.01	1.00E+00
regulation of lipid metabolic process (GO:0019216)	13	0	0.06	-	 < 0.01	1.00E+00
respiratory electron transport chain (GO:0022904)	13	0	0.06	-	 < 0.01	1.00E+00
protein hydroxylation (GO:0018126)	14	0	0.07	-	 < 0.01	1.00E+00
electron transport chain (GO:0022900)	16	0	0.08	-	 < 0.01	1.00E+00
glycerolipid catabolic process (GO:0046503)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of protein-containing complex disassembly (GO:0043244)	38	0	0.18	-	 < 0.01	1.00E+00
negative regulation of protein-containing complex disassembly (GO:0043242)	27	0	0.13	-	 < 0.01	1.00E+00
multivesicular body sorting pathway (GO:0071985)	25	0	0.12	-	 < 0.01	1.00E+00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	0	0.01	-	 < 0.01	1.00E+00
purine nucleoside triphosphate metabolic process (GO:0009144)	22	0	0.11	-	 < 0.01	1.00E+00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of cytoskeleton organization (GO:0051494)	35	0	0.17	-	 < 0.01	1.00E+00
nucleoside triphosphate biosynthetic process (GO:0009142)	8	0	0.04	-	 < 0.01	1.00E+00
lipoprotein biosynthetic process (GO:0042158)	55	0	0.27	-	 < 0.01	1.00E+00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of cytoskeleton organization (GO:0051493)	122	0	0.59	-	 < 0.01	1.00E+00
nucleoside triphosphate metabolic process (GO:0009141)	33	0	0.16	-	 < 0.01	1.00E+00
lipoprotein metabolic process (GO:0042157)	62	0	0.3	-	 < 0.01	1.00E+00
positive regulation of cellular component organization (GO:0051130)	96	0	0.46	-	 < 0.01	1.00E+00
regulation of stress fiber assembly (GO:0051492)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of blood pressure (GO:0045776)	6	0	0.03	-	 < 0.01	1.00E+00
protein K63-linked deubiquitination (GO:0070536)	7	0	0.03	-	 < 0.01	1.00E+00
protein K63-linked ubiquitination (GO:0070534)	5	0	0.02	-	 < 0.01	1.00E+00
mitochondrial fusion (GO:0008053)	9	0	0.04	-	 < 0.01	1.00E+00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	33	0	0.16	-	 < 0.01	1.00E+00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	0.03	-	 < 0.01	1.00E+00
immune response-regulating signaling pathway (GO:0002764)	39	0	0.19	-	 < 0.01	1.00E+00
phosphatidylinositol dephosphorylation (GO:0046856)	26	0	0.13	-	 < 0.01	1.00E+00
negative regulation of cellular component organization (GO:0051129)	65	0	0.31	-	 < 0.01	1.00E+00
regulation of cellular component organization (GO:0051128)	300	0	1.45	-	 < 0.01	4.06E-01
regulation of filopodium assembly (GO:0051489)	6	0	0.03	-	 < 0.01	1.00E+00
intracellular glucose homeostasis (GO:0001678)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of bone remodeling (GO:0046850)	4	0	0.02	-	 < 0.01	1.00E+00
nucleoside diphosphate catabolic process (GO:0009134)	23	0	0.11	-	 < 0.01	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	0.03	-	 < 0.01	1.00E+00
long-chain fatty acid metabolic process (GO:0001676)	11	0	0.05	-	 < 0.01	1.00E+00
nucleoside diphosphate metabolic process (GO:0009132)	26	0	0.13	-	 < 0.01	1.00E+00
"retrograde transport, endosome to Golgi (GO:0042147)"	34	0	0.16	-	 < 0.01	1.00E+00
platelet aggregation (GO:0070527)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of angiogenesis (GO:0045765)	22	0	0.11	-	 < 0.01	1.00E+00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	0.08	-	 < 0.01	1.00E+00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	0	-	 < 0.01	1.00E+00
cellular response to chemical stimulus (GO:0070887)	245	0	1.18	-	 < 0.01	6.34E-01
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of adenylate cyclase activity (GO:0045761)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	0	0.07	-	 < 0.01	1.00E+00
motor neuron axon guidance (GO:0008045)	6	0	0.03	-	 < 0.01	1.00E+00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	19	0	0.09	-	 < 0.01	1.00E+00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	33	0	0.16	-	 < 0.01	1.00E+00
innate immune response-activating signaling pathway (GO:0002758)	11	0	0.05	-	 < 0.01	1.00E+00
immune response-activating signaling pathway (GO:0002757)	37	0	0.18	-	 < 0.01	1.00E+00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	0.03	-	 < 0.01	1.00E+00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	0.08	-	 < 0.01	1.00E+00
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	0	0.07	-	 < 0.01	1.00E+00
negative regulation of cell communication (GO:0010648)	168	0	0.81	-	 < 0.01	1.00E+00
peptidyl-serine phosphorylation (GO:0018105)	75	0	0.36	-	 < 0.01	1.00E+00
filopodium assembly (GO:0046847)	3	0	0.01	-	 < 0.01	1.00E+00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of cell communication (GO:0010647)	200	0	0.97	-	 < 0.01	1.00E+00
skin development (GO:0043588)	3	0	0.01	-	 < 0.01	1.00E+00
purine nucleoside monophosphate metabolic process (GO:0009126)	15	0	0.07	-	 < 0.01	1.00E+00
ear development (GO:0043583)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of amide metabolic process (GO:0034248)	56	0	0.27	-	 < 0.01	1.00E+00
ameboidal-type cell migration (GO:0001667)	37	0	0.18	-	 < 0.01	1.00E+00
response to hypoxia (GO:0001666)	16	0	0.08	-	 < 0.01	1.00E+00
nucleoside monophosphate metabolic process (GO:0009123)	18	0	0.09	-	 < 0.01	1.00E+00
meiotic DNA double-strand break formation (GO:0042138)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	10	0	0.05	-	 < 0.01	1.00E+00
cell recognition (GO:0008037)	15	0	0.07	-	 < 0.01	1.00E+00
potassium ion import across plasma membrane (GO:1990573)	31	0	0.15	-	 < 0.01	1.00E+00
negative regulation of T cell proliferation (GO:0042130)	2	0	0.01	-	 < 0.01	1.00E+00
meiotic cell cycle process (GO:1903046)	45	0	0.22	-	 < 0.01	1.00E+00
V(D)J recombination (GO:0033151)	2	0	0.01	-	 < 0.01	1.00E+00
hippo signaling (GO:0035329)	15	0	0.07	-	 < 0.01	1.00E+00
phospholipid dephosphorylation (GO:0046839)	35	0	0.17	-	 < 0.01	1.00E+00
negative regulation of organelle organization (GO:0010639)	54	0	0.26	-	 < 0.01	1.00E+00
positive regulation of organelle organization (GO:0010638)	49	0	0.24	-	 < 0.01	1.00E+00
carbohydrate phosphorylation (GO:0046835)	6	0	0.03	-	 < 0.01	1.00E+00
nucleotide metabolic process (GO:0009117)	115	0	0.56	-	 < 0.01	1.00E+00
nucleoside metabolic process (GO:0009116)	14	0	0.07	-	 < 0.01	1.00E+00
cellular response to oxidative stress (GO:0034599)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of T cell proliferation (GO:0042129)	3	0	0.01	-	 < 0.01	1.00E+00
nucleobase metabolic process (GO:0009112)	20	0	0.1	-	 < 0.01	1.00E+00
eye development (GO:0001654)	34	0	0.16	-	 < 0.01	1.00E+00
regulation of cell population proliferation (GO:0042127)	101	0	0.49	-	 < 0.01	1.00E+00
cytochrome complex assembly (GO:0017004)	3	0	0.01	-	 < 0.01	1.00E+00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	34	0	0.16	-	 < 0.01	1.00E+00
protein polyubiquitination (GO:0000209)	75	0	0.36	-	 < 0.01	1.00E+00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of response to wounding (GO:1903034)	7	0	0.03	-	 < 0.01	1.00E+00
sperm motility (GO:0097722)	1	0	0	-	 < 0.01	1.00E+00
regulation of endopeptidase activity (GO:0052548)	43	0	0.21	-	 < 0.01	1.00E+00
calcineurin-mediated signaling (GO:0097720)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of peptidase activity (GO:0052547)	44	0	0.21	-	 < 0.01	1.00E+00
negative regulation of gene expression (GO:0010629)	125	0	0.6	-	 < 0.01	1.00E+00
positive regulation of gene expression (GO:0010628)	72	0	0.35	-	 < 0.01	1.00E+00
response to external biotic stimulus (GO:0043207)	43	0	0.21	-	 < 0.01	1.00E+00
oligopeptide transmembrane transport (GO:0035672)	2	0	0.01	-	 < 0.01	1.00E+00
osteoblast differentiation (GO:0001649)	3	0	0.01	-	 < 0.01	1.00E+00
neutrophil activation (GO:0042119)	2	0	0.01	-	 < 0.01	1.00E+00
positive regulation of DNA repair (GO:0045739)	10	0	0.05	-	 < 0.01	1.00E+00
piRNA processing (GO:0034587)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of DNA repair (GO:0045738)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of intracellular pH (GO:0051453)	27	0	0.13	-	 < 0.01	1.00E+00
intracellular pH reduction (GO:0051452)	10	0	0.05	-	 < 0.01	1.00E+00
macrophage activation (GO:0042116)	2	0	0.01	-	 < 0.01	1.00E+00
odontogenesis (GO:0042476)	2	0	0.01	-	 < 0.01	1.00E+00
monoatomic ion transmembrane transport (GO:0034220)	263	0	1.27	-	 < 0.01	6.40E-01
B cell activation (GO:0042113)	7	0	0.03	-	 < 0.01	1.00E+00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	0.01	-	 < 0.01	1.00E+00
positive regulation of protein catabolic process (GO:0045732)	26	0	0.13	-	 < 0.01	1.00E+00
regulation of heart contraction (GO:0008016)	17	0	0.08	-	 < 0.01	1.00E+00
T cell activation (GO:0042110)	7	0	0.03	-	 < 0.01	1.00E+00
inner ear morphogenesis (GO:0042472)	2	0	0.01	-	 < 0.01	1.00E+00
chromosome localization (GO:0050000)	13	0	0.06	-	 < 0.01	1.00E+00
"vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)"	1	0	0	-	 < 0.01	1.00E+00
protein localization to cilium (GO:0061512)	13	0	0.06	-	 < 0.01	1.00E+00
centriole elongation (GO:0061511)	1	0	0	-	 < 0.01	1.00E+00
antigen processing and presentation (GO:0019882)	3	0	0.01	-	 < 0.01	1.00E+00
sperm axoneme assembly (GO:0007288)	1	0	0	-	 < 0.01	1.00E+00
cardiolipin biosynthetic process (GO:0032049)	2	0	0.01	-	 < 0.01	1.00E+00
spermatid development (GO:0007286)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of dephosphorylation (GO:0035303)	8	0	0.04	-	 < 0.01	1.00E+00
spermatogenesis (GO:0007283)	16	0	0.08	-	 < 0.01	1.00E+00
germ cell development (GO:0007281)	16	0	0.08	-	 < 0.01	1.00E+00
mitochondrial DNA metabolic process (GO:0032042)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of neuron projection development (GO:0010975)	45	0	0.22	-	 < 0.01	1.00E+00
carbohydrate transmembrane transport (GO:0034219)	10	0	0.05	-	 < 0.01	1.00E+00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of meiotic cell cycle (GO:0051445)	10	0	0.05	-	 < 0.01	1.00E+00
transport along microtubule (GO:0010970)	53	0	0.26	-	 < 0.01	1.00E+00
purine nucleotide catabolic process (GO:0006195)	21	0	0.1	-	 < 0.01	1.00E+00
positive regulation of translation (GO:0045727)	21	0	0.1	-	 < 0.01	1.00E+00
signal release (GO:0023061)	42	0	0.2	-	 < 0.01	1.00E+00
response to growth factor (GO:0070848)	85	0	0.41	-	 < 0.01	1.00E+00
positive regulation of T cell proliferation (GO:0042102)	2	0	0.01	-	 < 0.01	1.00E+00
mitochondrial transmembrane transport (GO:1990542)	37	0	0.18	-	 < 0.01	1.00E+00
eye photoreceptor cell development (GO:0042462)	1	0	0	-	 < 0.01	1.00E+00
regulation of cell size (GO:0008361)	16	0	0.08	-	 < 0.01	1.00E+00
regulation of cell shape (GO:0008360)	28	0	0.14	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	0.01	-	 < 0.01	1.00E+00
gamete generation (GO:0007276)	27	0	0.13	-	 < 0.01	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	110	0	0.53	-	 < 0.01	1.00E+00
regulation of kinase activity (GO:0043549)	134	0	0.65	-	 < 0.01	1.00E+00
neuromuscular synaptic transmission (GO:0007274)	10	0	0.05	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	0.07	-	 < 0.01	1.00E+00
negative regulation of signaling (GO:0023057)	168	0	0.81	-	 < 0.01	1.00E+00
DNA geometric change (GO:0032392)	12	0	0.06	-	 < 0.01	1.00E+00
protein acylation (GO:0043543)	28	0	0.14	-	 < 0.01	1.00E+00
positive regulation of signaling (GO:0023056)	200	0	0.97	-	 < 0.01	1.00E+00
endothelial cell migration (GO:0043542)	4	0	0.02	-	 < 0.01	1.00E+00
IMP biosynthetic process (GO:0006188)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	0	0.17	-	 < 0.01	1.00E+00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	18	0	0.09	-	 < 0.01	1.00E+00
lipid translocation (GO:0034204)	23	0	0.11	-	 < 0.01	1.00E+00
cGMP biosynthetic process (GO:0006182)	4	0	0.02	-	 < 0.01	1.00E+00
organelle disassembly (GO:1903008)	56	0	0.27	-	 < 0.01	1.00E+00
response to organic cyclic compound (GO:0014070)	28	0	0.14	-	 < 0.01	1.00E+00
neurotransmitter secretion (GO:0007269)	37	0	0.18	-	 < 0.01	1.00E+00
negative regulation of macroautophagy (GO:0016242)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of macroautophagy (GO:0016241)	15	0	0.07	-	 < 0.01	1.00E+00
regulation of lymphocyte mediated immunity (GO:0002706)	5	0	0.02	-	 < 0.01	1.00E+00
Rho protein signal transduction (GO:0007266)	25	0	0.12	-	 < 0.01	1.00E+00
Ras protein signal transduction (GO:0007265)	27	0	0.13	-	 < 0.01	1.00E+00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of leukocyte mediated immunity (GO:0002703)	5	0	0.02	-	 < 0.01	1.00E+00
small GTPase-mediated signal transduction (GO:0007264)	64	0	0.31	-	 < 0.01	1.00E+00
regulation of metal ion transport (GO:0010959)	53	0	0.26	-	 < 0.01	1.00E+00
regulation of chromatin organization (GO:1902275)	3	0	0.01	-	 < 0.01	1.00E+00
positive regulation of insulin secretion (GO:0032024)	1	0	0	-	 < 0.01	1.00E+00
regulation of peptide transport (GO:0090087)	6	0	0.03	-	 < 0.01	1.00E+00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	0	-	 < 0.01	1.00E+00
positive regulation of peptidase activity (GO:0010952)	20	0	0.1	-	 < 0.01	1.00E+00
negative regulation of endopeptidase activity (GO:0010951)	24	0	0.12	-	 < 0.01	1.00E+00
positive regulation of endopeptidase activity (GO:0010950)	19	0	0.09	-	 < 0.01	1.00E+00
negative regulation of nuclear division (GO:0051784)	13	0	0.06	-	 < 0.01	1.00E+00
replication fork processing (GO:0031297)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of nuclear division (GO:0051783)	27	0	0.13	-	 < 0.01	1.00E+00
heterochromatin organization (GO:0070828)	26	0	0.13	-	 < 0.01	1.00E+00
regulation of ERBB signaling pathway (GO:1901184)	11	0	0.05	-	 < 0.01	1.00E+00
hormone biosynthetic process (GO:0042446)	1	0	0	-	 < 0.01	1.00E+00
positive regulation of cell division (GO:0051781)	3	0	0.01	-	 < 0.01	1.00E+00
hormone metabolic process (GO:0042445)	16	0	0.08	-	 < 0.01	1.00E+00
embryo development (GO:0009790)	65	0	0.31	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex III assembly (GO:0034551)	2	0	0.01	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex assembly (GO:0033108)	12	0	0.06	-	 < 0.01	1.00E+00
positive regulation of macroautophagy (GO:0016239)	10	0	0.05	-	 < 0.01	1.00E+00
pigment metabolic process (GO:0042440)	15	0	0.07	-	 < 0.01	1.00E+00
microautophagy (GO:0016237)	18	0	0.09	-	 < 0.01	1.00E+00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	0	-	 < 0.01	1.00E+00
telomere capping (GO:0016233)	3	0	0.01	-	 < 0.01	1.00E+00
receptor signaling pathway via JAK-STAT (GO:0007259)	11	0	0.05	-	 < 0.01	1.00E+00
JNK cascade (GO:0007254)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of cell cycle process (GO:0010948)	50	0	0.24	-	 < 0.01	1.00E+00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of protein serine/threonine kinase activity (GO:0071900)	51	0	0.25	-	 < 0.01	1.00E+00
purine nucleotide biosynthetic process (GO:0006164)	48	0	0.23	-	 < 0.01	1.00E+00
purine nucleotide metabolic process (GO:0006163)	99	0	0.48	-	 < 0.01	1.00E+00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	0.01	-	 < 0.01	1.00E+00
positive regulation of cyclase activity (GO:0031281)	9	0	0.04	-	 < 0.01	1.00E+00
acetylcholine receptor signaling pathway (GO:0095500)	23	0	0.11	-	 < 0.01	1.00E+00
snRNA transcription by RNA polymerase II (GO:0042795)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of cyclase activity (GO:0031280)	2	0	0.01	-	 < 0.01	1.00E+00
collagen fibril organization (GO:0030199)	11	0	0.05	-	 < 0.01	1.00E+00
endosome to lysosome transport (GO:0008333)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of mRNA processing (GO:0050684)	37	0	0.18	-	 < 0.01	1.00E+00
iron-sulfur cluster assembly (GO:0016226)	10	0	0.05	-	 < 0.01	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of blood coagulation (GO:0030195)	4	0	0.02	-	 < 0.01	1.00E+00
canonical NF-kappaB signal transduction (GO:0007249)	5	0	0.02	-	 < 0.01	1.00E+00
positive regulation of TOR signaling (GO:0032008)	14	0	0.07	-	 < 0.01	1.00E+00
